商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
高洁丝 夜安裤 经典系列裤型卫生巾 L码 4条装 腰围60-100cm,12.8,225,https://img30.360buyimg.com/n1//jfs/t1/62357/9/6725/70519/5d4b97bcEb0f83116/54ad98ed7ef56d53.jpg,女性护理,个护美妆
高洁丝（Kotex） 臻选系列极薄纯棉日用卫生巾 240mm*16片,12.8,219,https://img30.360buyimg.com/n1//jfs/t1/45036/5/10954/159492/5d81d9c0E5ba2c244/615d81f90d5beab0.jpg,女性护理,个护美妆
高洁丝 放肆睡绵柔丝薄夜用卫生巾 420mm 8片+1片,12.8,136,https://img30.360buyimg.com/n1//jfs/t1/66559/17/6556/97409/5d4b80a7Ebb1d6357/6e3220e356b61759.jpg,女性护理,个护美妆
高洁丝 纤巧棉柔超大吸少女肌日用卫生巾 240mm 18片,12.8,121,https://img30.360buyimg.com/n1//jfs/t1/61738/21/6714/85973/5d4afe0cE51aeb778/166a83a24632b0e7.jpg,女性护理,个护美妆
护舒宝 云感棉极薄日用卫生巾 240mm 16片,9.8,73,https://img30.360buyimg.com/n1//jfs/t1/83302/10/4861/136631/5d2f2173E83e0a257/be503c24d7d11e52.jpg,女性护理,个护美妆
云感棉贴身卫生巾 棉柔表层 量多日用/夜用 284mm*10片 多种款式随机配送,9.8,31,https://img30.360buyimg.com/n1//jfs/t1/53359/28/5293/130533/5d2f21e1Ed7367c77/f9baaeabfc274900.jpg,女性护理,个护美妆
高洁丝 臻选系澳洲进口纯棉极薄日用卫生巾 240mm 8片,11.8,59,https://img30.360buyimg.com/n1//jfs/t1/74445/33/6072/161379/5d42559dE66b9c4d2/591169b3a0d94a4e.jpg,女性护理,个护美妆
苏菲 超熟睡安心裤 L2片,8.8,81,https://img30.360buyimg.com/n1//jfs/t1/34616/8/5957/167825/5cc15f5bE4aaf5ab0/e378d5330dab99ca.jpg,女性护理,个护美妆
花王（KAO） 乐而雅超瞬吸日用卫生巾 22.5cm 30片（新旧包装随机发货）,18.8,81,https://img30.360buyimg.com/n1//jfs/t1/39346/6/13214/136494/5d440b1bE9badd7f9/0443f9ea301e5c88.jpg,女性护理,个护美妆
ABC 新柔立围日用卫生巾240mm 8片,10.5,72,https://img30.360buyimg.com/n1//jfs/t1/69484/20/4850/60185/5d2f2753E6a83531b/7fc192b4c6cfaac9.jpg,女性护理,个护美妆
花王（KAO） 乐而雅超瞬吸纤巧立围夜用卫生巾 40cm 8片（新旧包装随机发货）,12.8,51,https://img30.360buyimg.com/n1//jfs/t1/61906/30/6068/132008/5d440b1bE23bb255f/c548730c46102fa7.jpg,女性护理,个护美妆
苏菲 口袋魔法零味感240mm卫生巾 18片,13.6,99,https://img30.360buyimg.com/n1//jfs/t1/69653/38/4776/187795/5d2f219dEb5ab48ad/dbfad82f72d84e63.jpg,女性护理,个护美妆
SPACE 7/七度空间 优雅系列丝柔表层透气超薄夜用卫生巾 275mm 10片,7.6,94,https://img30.360buyimg.com/n1//jfs/t1/71479/28/4772/125163/5d2f1873E02d6ce2e/22e73e734c8f99fa.jpg,女性护理,个护美妆
ABC 迷你轻柔立围日用绵柔卫生巾 8片,4.8,121,https://img30.360buyimg.com/n1//jfs/t1/65624/34/4756/117626/5d2f275aE6dd56d4b/0b97640db3728e57.jpg,女性护理,个护美妆
苏菲 超薄随心翻超熟睡夜用卫生巾 420mm 8片（商品包装更新，以收到实物为准）,13.6,64,https://img30.360buyimg.com/n1//jfs/t1/71867/4/4822/154628/5d2f2160E2fec41f9/538cde5b69c0299c.jpg,女性护理,个护美妆
苏菲 日夜守护 组合装卫生巾 14片,13.8,74,https://img30.360buyimg.com/n1//jfs/t1/52086/9/5196/129525/5d2f21a0E4ff3dd60/0651cefd0f121388.jpg,女性护理,个护美妆
七度空间 少女系列卫生巾 超薄型超长夜用 338mm*8片,7.2,166,https://img30.360buyimg.com/n1//jfs/t1/55736/25/11926/120569/5d8c668fEa2f1ccee/bb834aff9091a588.jpg,女性护理,个护美妆
护舒宝（whisper） 加拿大进口 未来感·极护卫生巾 量多日用 270mm*10片,34.9,87,https://img30.360buyimg.com/n1//jfs/t1/72820/27/9321/163341/5d71075cE495b03ca/9d3574987887d136.jpg,女性护理,个护美妆
七度空间 少女系列纯棉表层透气夜用超薄275mm 10片,8,98,https://img30.360buyimg.com/n1//jfs/t1/75639/2/7816/136717/5d5bc68bE898ab9d1/13b95021206ba865.jpg,女性护理,个护美妆
ABC 超吸棉柔护垫(新旧包装随机发货)163mm*22片/包,6.5,82,https://img30.360buyimg.com/n1//jfs/t1/46954/33/5366/61526/5d2f2749E73280024/ac6e2d5f1d7eedf6.jpg,女性护理,个护美妆
七度空间 少女系列卫生巾 超薄型日用 245mm*10片,7.5,133,https://img30.360buyimg.com/n1//jfs/t1/52399/17/11832/136650/5d8c668fE9362d1b9/4c588d83aabe1322.jpg,女性护理,个护美妆
ABC 轻透薄卫生巾 夜用 280mm 8片,8.8,39,https://img30.360buyimg.com/n1//jfs/t1/49757/16/11550/73581/5d88b251E42aadffa/f2043cec90ea2457.jpg,女性护理,个护美妆
乐而雅 零触感超丝薄日用卫生巾 22.5cm*30片,25.5,35,https://img30.360buyimg.com/n1//jfs/t1/67539/4/4696/136012/5d2f273bEab25695f/0fb1881ddb79ecf4.jpg,女性护理,个护美妆
苏菲 弹力贴身极薄0.1日用卫生巾 16片（新旧包装，随机发货）,15,26,https://img30.360buyimg.com/n1//jfs/t1/36268/4/15227/143283/5d2f2189Efe502175/6ae98538807e13e1.jpg,女性护理,个护美妆
ABC 夜用卫生巾 8片,8.5,25,https://img30.360buyimg.com/n1//jfs/t1/38665/8/11751/123908/5d2f273cEfb094590/ea93d916045609ab.jpg,女性护理,个护美妆
乐而雅 零触感夜用卫生巾 8片,10.8,25,https://img30.360buyimg.com/n1//jfs/t1/48605/27/5232/163126/5d2f2759Eca81e21b/c729e4f8e61f9e40.jpg,女性护理,个护美妆
乐而雅 零触感特薄日用护翼型卫生巾 28片,22.8,14,https://img30.360buyimg.com/n1//jfs/t1/57382/39/5290/109089/5d2f273bE91dedb52/a80243717427a198.jpg,女性护理,个护美妆
高洁丝 纯棉极薄日夜用卫生巾全周期组合 240mm*10+280mm*2+420mm*2,19.8,5,https://img30.360buyimg.com/n1//jfs/t1/73777/2/9283/110736/5d710784E764329c7/8165107bda34902f.jpg,女性护理,个护美妆
苏菲 裸感S日用卫生巾25cm 13片,14.5,19,https://img30.360buyimg.com/n1//jfs/t1/57564/9/5359/85268/5d300a7fE0c61a540/35b5ca5be0d89d22.jpg,女性护理,个护美妆
苏菲 超熟睡420夜用卫生巾 15片装,29.5,15,https://img30.360buyimg.com/n1//jfs/t1/54634/28/5362/178242/5d300a87E72d14daf/25319bead8bdf68a.jpg,女性护理,个护美妆
高洁丝 丝薄棉柔少女肌日用卫生巾 240mm 32片,19.8,4,https://img30.360buyimg.com/n1//jfs/t1/61889/36/12681/71173/5da04b26E0fd86aa4/a918e29ca4c3c8bc.jpg,女性护理,个护美妆
ABC KMS清凉舒爽卫生巾优惠装 超吸纤薄 棉柔表层 蓝芯 夜用 280mm*12片,7.8,8,https://img30.360buyimg.com/n1//jfs/t1/77966/25/4733/58619/5d2f2780E2bc751e7/135335ef334476c4.jpg,女性护理,个护美妆
乐互宜 安心柔爽成人护理垫 加大型10片 XL码 60*90cm,29,6,https://img30.360buyimg.com/n1//jfs/t1/20846/40/6297/141873/5c4be81aE1ece80ae/960f77dc73ddf72e.jpg,女性护理,个护美妆
高洁丝 澳洲进口 级薄纯棉臻选系420夜用卫生巾 5片,15.9,1,https://img30.360buyimg.com/n1//jfs/t1/48733/10/11045/103316/5d81d9c0Ef6532386/6511fbde86e34744.jpg,女性护理,个护美妆
苏菲 口袋魔法森呼吸日用超薄森林香棉柔表层卫生巾24cm 16片,15.8,4,https://img30.360buyimg.com/n1//jfs/t1/4280/30/13130/191264/5bd6729bE5c7c1f34/90338745923b958c.jpg,女性护理,个护美妆
七度空间 特薄0.08日用卫生巾 245mm*10片,10.9,5,https://img30.360buyimg.com/n1//jfs/t1/66832/14/11270/135979/5d8c6690E6b886f2a/5729a3016be86711.jpg,女性护理,个护美妆
ABC KMS日用超吸纤薄棉柔表层卫生巾 240mm 12片,13.5,5,https://img30.360buyimg.com/n1//jfs/t1/58783/38/5176/63851/5d2f273bEada71173/01d9cee8e14555a1.jpg,女性护理,个护美妆
高洁丝 超透气迷你极薄棉柔日用卫生巾 190mm 8片,4.5,11,https://img30.360buyimg.com/n1//jfs/t1/81215/9/5875/128838/5d42559cE29d613ea/758ff5367a2008fe.jpg,女性护理,个护美妆
苏菲 弹力贴身极薄0.1卫生巾 30片,23,4,https://img30.360buyimg.com/n1//jfs/t1/62117/9/4713/90535/5d2f218cE58ca82cc/6b90675bc3d6a379.jpg,女性护理,个护美妆
苏菲 口袋魔法夜用超薄卫生巾 29cm 14片,15.8,10,https://img30.360buyimg.com/n1//jfs/t1/9841/23/3407/182850/5bd69be1E144fcb35/8c429606fc54e520.jpg,女性护理,个护美妆
ABC 轻柔立围夜用卫生巾 8片,10.5,25,https://img30.360buyimg.com/n1//jfs/t1/38469/32/11934/132224/5d2f2753E4efa3bd7/f48fc82bc86d7f63.jpg,女性护理,个护美妆
ABC 丝薄绵柔护垫 22片(新旧包装随机),7.5,50,https://img30.360buyimg.com/n1//jfs/t1/79737/13/12120/141301/5d9acb65E9751279d/55eaf8b935c8e4bc.jpg,女性护理,个护美妆
乐而雅 零触感超薄棉迷你日用卫生巾 17cm*16片,8,13,https://img30.360buyimg.com/n1//jfs/t1/59548/23/4885/150117/5d2f2741E9bfc72a2/179a9b53be58ab69.jpg,女性护理,个护美妆
高洁丝 纯棉夜安裤 裤型卫生巾 2条装 均码 腰围52-100cm,14.8,1,https://img30.360buyimg.com/n1//jfs/t1/76786/20/10328/106119/5d7f08b8E2b0991b4/6611192d6735cdbf.jpg,女性护理,个护美妆
高洁丝 隐形派420棉柔超长夜用卫生巾 420mm 7片,22.5,1,https://img30.360buyimg.com/n1//jfs/t1/78002/10/10364/129492/5d7f08b8Ece153bc9/3620ea737d7d13a0.jpg,女性护理,个护美妆
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
佳洁士 3D炫白微米炭牙膏 180g,8.8,145,https://img30.360buyimg.com/n1//jfs/t1/52367/1/9425/145765/5d6c88beE8762b518/a1f28b0ee1fa5d4c.jpg,口腔护理,个护美妆
舒客 炭丝能量软毛牙刷 4支装,19.8,45,https://img30.360buyimg.com/n1//jfs/t1/19746/40/13643/193537/5ca1b31eE6aa46354/b037d51a0a52f11b.jpg,口腔护理,个护美妆
中华 健齿白炫动果香味牙膏 200g,4.8,87,https://img30.360buyimg.com/n1//jfs/t1/42628/1/9391/95968/5d2f219cEca0cb42f/b9e1bbd5cbd4298e.jpg,口腔护理,个护美妆
黑人（DARLIE） 茶倍健龙井绿茶牙膏 190g,12.5,57,https://img30.360buyimg.com/n1//jfs/t1/26129/22/14199/81076/5ca48d31E025cccda/7ddfe5f545d36eac.jpg,口腔护理,个护美妆
高露洁 超密丝炭牙刷 5支装 0.15mm,19.8,22,https://img30.360buyimg.com/n1//jfs/t1/8453/20/10385/224416/5c222507E732d1ff2/e4d1d5ac02c13d88.jpg,口腔护理,个护美妆
黑人 超白青柠薄荷牙膏 140g,10.5,28,https://img30.360buyimg.com/n1//jfs/t1/76212/33/4842/71167/5d2f1be7E98a6916d/4bc2757b1a0887ea.jpg,口腔护理,个护美妆
冷酸灵 精盐爽白双重抗敏感牙膏+茉莉茶清新双重抗敏感牙膏 260g（130g+130g）,39.8,23,https://img30.360buyimg.com/n1//jfs/t1/5364/36/13161/138278/5bd69ca6Ea0690ab7/f4b7541d726308fa.jpg,口腔护理,个护美妆
舒客 专效清新牙膏 210g+210g,29.8,25,https://img30.360buyimg.com/n1//jfs/t24733/262/16224956/137487/b4ef568/5b62dac6Ncfd6763d.jpg,口腔护理,个护美妆
黑人 双重薄荷牙膏 225g,14,19,https://img30.360buyimg.com/n1//jfs/t1/15928/15/1711/85972/5c152a0bE1f3d48f1/5bff2afd59a48c70.jpg,口腔护理,个护美妆
黑人 炭丝高密牙刷优惠装 两支,12.8,11,https://img30.360buyimg.com/n1//jfs/t1/69654/14/4833/123798/5d2f1bb8Eb0a8a708/31b6e89e18b913e0.jpg,口腔护理,个护美妆
黑人（DARLIE） 天然薄荷香型超白牙膏 190g,10.8,14,https://img30.360buyimg.com/n1//jfs/t1/71268/27/8390/45953/5d6383dcEf31e28ff/b1f69d9431c5ffaf.jpg,口腔护理,个护美妆
纳美（Namei） 小苏打皓齿本白牙膏 160g,19.8,13,https://img30.360buyimg.com/n1//jfs/t1/55616/9/8197/60801/5d5bc6b2E5907b389/ef1821c21e75973c.jpg,口腔护理,个护美妆
云南白药 留兰香型牙膏 180g*2支(送清新晨露牙膏80g),58,12,https://img30.360buyimg.com/n1//jfs/t1/17248/32/5525/147609/5c3ef1eeEb5b83ba9/8fcc8fe8aac6afb5.jpg,口腔护理,个护美妆
高露洁（Colgate） 纤柔双核深洁牙刷 2支,24.5,12,https://img30.360buyimg.com/n1//jfs/t1/79277/38/7692/101578/5d5bc6acEd542afd4/ede906b61ad463ef.jpg,口腔护理,个护美妆
黑人（DARLIE） 专研清新牙膏 120g,21.9,13,https://img30.360buyimg.com/n1//jfs/t1/82281/33/7853/99216/5d5bc6dfEeb230009/badd2c3c36b1c04e.jpg,口腔护理,个护美妆
黑人（DARLIE） 双重薄荷牙膏组合 清新+洁净 175g*2,19.8,12,https://img30.360buyimg.com/n1//jfs/t1/53631/4/8852/134494/5d6383ebE7677cdf4/5d62e052c502564f.jpg,口腔护理,个护美妆
Namei/纳美 抗菌牙刷 3支装,13.8,17,https://img30.360buyimg.com/n1//jfs/t25567/330/16836973/66387/65b5644d/5b62da59N94762d3d.jpg,口腔护理,个护美妆
云南白药 留兰香牙膏 180g,28,15,https://img30.360buyimg.com/n1//jfs/t1/43319/30/12595/71241/5d5bc690E5c12fcf6/9059c137c06610db.jpg,口腔护理,个护美妆
云南白药 薄荷清爽型牙膏 210g/支,32.8,11,https://img30.360buyimg.com/n1//g5/M02/01/0E/rBEIC0_HGBsIAAAAAADwS4iYcxwAAASKgMQKTEAAPBj736.jpg,口腔护理,个护美妆
高露洁 劲白牙膏（竹炭薄荷味/晶亮薄荷味）（新旧包装随机发货）,19.8,9,https://img30.360buyimg.com/n1//jfs/t1/55725/28/10892/131339/5d7ef1dbE5efaaddd/d97151d4f219231d.jpg,口腔护理,个护美妆
惠宜 牙线棒 50支*3盒,15.8,3,https://img30.360buyimg.com/n1//jfs/t1/69209/20/8248/107490/5d6384daE6f1d2bbf/50f1dc65a7405d8c.jpg,口腔护理,个护美妆
黑人 超白多效护理牙膏 190g,10.8,3,https://img30.360buyimg.com/n1//jfs/t26554/109/1519811274/103266/c63fd99a/5be4f896N9d6c3719.jpg,口腔护理,个护美妆
黑人 超白矿物盐牙膏 190g,10.8,1,https://img30.360buyimg.com/n1//jfs/t1/69406/1/8709/58388/5d67d273E62aa4f6c/4f1b71ddb907f424.jpg,口腔护理,个护美妆
黑人 超白竹炭深洁牙膏 190g,10.8,1,https://img30.360buyimg.com/n1//jfs/t1/62952/19/1034/103133/5cf49b9cE74d0b02d/85dd2b8640b15aaf.jpg,口腔护理,个护美妆
佳洁士 锁白致尚技术牙膏（清新桃花香） 120g,25.9,3,https://img30.360buyimg.com/n1//jfs/t1/40408/11/11890/88018/5d300b01E587e73be/cb2c8b09a9f230ca.jpg,口腔护理,个护美妆
云南白药 薄荷清爽型牙膏 45g(新旧规格随机发货),12.5,10,https://img30.360buyimg.com/n1//jfs/t1/57139/23/7048/49625/5d4bdd4dE2546e621/91619ec06d1446fc.jpg,口腔护理,个护美妆
舒客 小苏打牙膏 脱渍净白 160g,22.5,5,https://img30.360buyimg.com/n1//jfs/t1/36905/39/15093/96723/5d2f1bd8E2864949e/4d40bde70e557ac4.jpg,口腔护理,个护美妆
高露洁 劲白冰爽牙膏组合 180g+180g,15.2,6,https://img30.360buyimg.com/n1//jfs/t1/54178/5/8741/128559/5d6384c0E93d587cc/e72b9bb688c9ea81.jpg,口腔护理,个护美妆
黑人 超白极尚果漾薄荷味牙膏 120g,14,1,https://img30.360buyimg.com/n1//jfs/t1/41208/25/12435/114908/5d5cbfd0E86b6b654/dd55592c7e5dc6a7.jpg,口腔护理,个护美妆
云南白药 薄荷清爽牙膏 150g,22,5,https://img30.360buyimg.com/n1//jfs/t1/69876/40/5185/64725/5d36cca2Eab8750ee/8dd19f74b1ab0e87.jpg,口腔护理,个护美妆
惠宜 纤柔牙刷 4支,11.8,3,https://img30.360buyimg.com/n1//jfs/t1/73542/7/8240/121488/5d638494E55a87f77/3fb9f8bef2581fc6.jpg,口腔护理,个护美妆
黑人 茶倍健茉莉白茶牙膏（白茶茉莉花香香型） 190g,12.8,2,https://img30.360buyimg.com/n1//jfs/t25588/292/2411773230/61984/792afde4/5be4f869N48b1e739.jpg,口腔护理,个护美妆
高露洁 冰爽3重薄荷牙膏 180g,14.5,10,https://img30.360buyimg.com/n1//jfs/t1/7133/34/8645/152982/5c152a0bE17997435/8cf8525113f2bea3.jpg,口腔护理,个护美妆
高露洁 360°健康牙龈牙膏 清爽薄荷香型 200g+140g（新旧包装随机发货）,27.8,11,https://img30.360buyimg.com/n1//jfs/t1/64171/28/12466/195602/5d9ef9b5Ec34430a1/b48f6ee78b9e8a16.jpg,口腔护理,个护美妆
高露洁 超洁净牙刷中毛 6支装 0.20mm,10.3,43,https://img30.360buyimg.com/n1//jfs/t1/28572/19/1781/157179/5c152a19E9ae33ef6/15206c0467e24307.jpg,口腔护理,个护美妆
黑人 茶倍健百里香草本龙井香型牙膏 190g,12.5,0,https://img30.360buyimg.com/n1//jfs/t1/63633/24/8468/65314/5d67d288E20ee48d2/cc1d9358092dacca.jpg,口腔护理,个护美妆
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
海飞丝 去屑洗发露清爽去油型 1L,59.8,33,https://img30.360buyimg.com/n1//jfs/t1/70566/4/11379/76773/5d8d7a4eE6bb8f7b6/164cde1e407af0a1.jpg,洗发护发,个护美妆
L'OREAL/欧莱雅 美发精油润养8 润发乳 700ml,38.8,35,https://img30.360buyimg.com/n1//jfs/t1/7873/1/3338/69013/5bd672afE13a07b46/2c8d75baa5d09b33.jpg,洗发护发,个护美妆
潘婷（pantene） 丝质顺滑洗发露 750ml,39.8,33,https://img30.360buyimg.com/n1//jfs/t1/77959/29/4703/56683/5d2f219cEb4af5f3f/186ddbe896393406.jpg,洗发护发,个护美妆
