商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
哈尔滨 小麦王啤酒 500ml*3(新旧包装随机发货),8.9,181,https://img30.360buyimg.com/n1//jfs/t1/76711/29/11192/127767/5d882bbdE4e35e8f0/dddb896296650715.jpg,啤酒,中外名酒
雪花 干爽啤酒 330ml*6,9.9,102,https://img30.360buyimg.com/n1//jfs/t1/76437/1/7176/91258/5d550c2bE7c1ac382/d375cd4e6822c77a.jpg,啤酒,中外名酒
乌苏 啤酒 ≥4度 620ml,8.9,187,https://img30.360buyimg.com/n1//jfs/t1/72547/27/10084/69273/5d7a15cdEbcb9a5f0/538c8e73491b705d.jpg,啤酒,中外名酒
Corona/科罗娜 墨西哥进口 特级精酿啤酒  330ml,9.9,58,https://img30.360buyimg.com/n1//jfs/t1/57640/11/10537/47808/5d7a15baE6e2bb1d1/2edb848693100d81.jpg,啤酒,中外名酒
百威 啤酒 330ml*6罐,29.9,67,https://img30.360buyimg.com/n1//jfs/t1/49566/26/10507/167489/5d7a15baEff3e4eff/ebaa439d24205e06.jpg,啤酒,中外名酒
哈尔滨 清爽啤酒 330ml*6罐,9.9,68,https://img30.360buyimg.com/n1//jfs/t1/65853/16/9958/113875/5d7a15baE103af038/94e286f24ad17c76.jpg,啤酒,中外名酒
克伦堡凯旋 1664（kronenbourg 1664） 桃红啤酒 330ml,12.5,15,https://img30.360buyimg.com/n1//jfs/t1/46662/4/7685/47744/5d550bfeE889de7fc/d73fc745593f0ef7.jpg,啤酒,中外名酒
雪花 勇闯天涯听装啤酒 330ml*6,23.9,24,https://img30.360buyimg.com/n1//jfs/t1/60506/40/7220/183817/5d550522E2d4fa7d1/866317e300a17ac2.jpg,啤酒,中外名酒
百威 啤酒三连罐 500ml*3,18.9,28,https://img30.360buyimg.com/n1//jfs/t1/40062/16/14384/120792/5d550411E6dc9dbdb/e1c82084579c803e.jpg,啤酒,中外名酒
雪花 纯生啤酒 330ml*6罐,28,14,https://img30.360buyimg.com/n1//jfs/t1/54003/18/7780/108324/5d550d9bE086dc173/17fdcbf923077c63.jpg,啤酒,中外名酒
哈尔滨 大罐冰爽啤酒 500ml*4,9.8,15,https://img30.360buyimg.com/n1//jfs/t1/41900/38/14967/117527/5d7a15baE224b3fca/ad99ac26fb6cbcd4.jpg,啤酒,中外名酒
乌苏 啤酒 12罐*500ml,69.9,4,https://img30.360buyimg.com/n1//jfs/t1/47301/18/7718/132624/5d550b48Ebd8755be/6971cf142b3d4626.jpg,啤酒,中外名酒
嘉士伯 特醇啤酒 ≥3.2度 6罐*330ml,29.9,2,https://img30.360buyimg.com/n1//jfs/t1/84167/27/7331/101548/5d550183E34d50011/1fc886f58e608f37.jpg,啤酒,中外名酒
