商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
德芙 块状巧克力组合 约210g (散装称重),24.8,136,https://img30.360buyimg.com/n1//jfs/t1/75572/30/9168/247786/5d7085e9E5ed54d8e/afaa059497b455ad.jpg,糖果巧克力,休闲食品
绿箭 无糖薄荷糖草莓味 23.8g（约35粒）,7.8,54,https://img30.360buyimg.com/n1//jfs/t1/48435/19/7259/74204/5d4d9817Ed9782c5f/fe404990860927a5.jpg,糖果巧克力,休闲食品
绿箭 茉莉花茶味无糖薄荷糖 23.8g,7.8,86,https://img30.360buyimg.com/n1//jfs/t1/56153/10/7207/114634/5d4d980dEd970c2d5/5ac8c6e5c5129e4e.jpg,糖果巧克力,休闲食品
士力架 燕麦花生夹心巧克力 40g,3.5,109,https://img30.360buyimg.com/n1//jfs/t1/71846/10/6683/86110/5d4d9814E1e13c7a5/45636f823426310c.jpg,糖果巧克力,休闲食品
士力架 花生夹心巧克力4送1超值装 239g,13.8,62,https://img30.360buyimg.com/n1//jfs/t1/49780/33/7388/206340/5d4d97e8E9c9e60d6/3263eae0da9e2782.jpg,糖果巧克力,休闲食品
脆香米 脆米心牛奶巧克力 120g,12.8,65,https://img30.360buyimg.com/n1//jfs/t1/64481/25/6826/178682/5d4d97f0E88905f35/547b789b937b7759.jpg,糖果巧克力,休闲食品
彩虹 原果味缤纷充气糖果 120g,7.92,25,https://img30.360buyimg.com/n1//jfs/t10201/359/2797519165/119595/b2da93c8/5cd904f8Ne7c1f7bb.jpg,糖果巧克力,休闲食品
绿箭 薄荷味口香糖组合装 45g（3条）,3.3,80,https://img30.360buyimg.com/n1//jfs/t1/57133/18/7308/119906/5d4d97e8E09c3825b/ab8f206c4a03f90e.jpg,糖果巧克力,休闲食品
M&M'S 牛奶巧克力豆 40g,3.9,52,https://img30.360buyimg.com/n1//jfs/t1/82835/6/6770/90376/5d4d97ecE59bc7b29/ab8343ad68aa2fe1.jpg,糖果巧克力,休闲食品
徐福记 散装婚庆喜糖 约0.21kg,9.62,37,https://img30.360buyimg.com/n1//jfs/t1/62382/29/7839/240489/5d5e3904E984016ad/45fe7e647e39e2ca.jpg,糖果巧克力,休闲食品
士力架 花生夹心巧克力 约240g (散装称重),13.44,33,https://img30.360buyimg.com/n1//jfs/t1/70681/34/6735/136627/5d4ceccdEd72e3313/5aa4a1bae6cf32f6.jpg,糖果巧克力,休闲食品
