商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
赖 钟水饺牛肉芹菜水饺 1kg,13.5,120,https://img30.360buyimg.com/n1//jfs/t1/67606/40/7613/146598/5d5a586dEef3ef85c/664c5b1045503199.jpg,水饺馄饨,冷藏冷冻
赖 钟水饺猪肉 1kg,13.5,148,https://img30.360buyimg.com/n1//jfs/t1/71046/6/3068/129832/5d158e37E1dad0a34/b22758994a4101a0.jpg,水饺馄饨,冷藏冷冻
思念（sinian） 灌汤水饺猪肉韭菜 1kg,11.9,156,https://img30.360buyimg.com/n1//jfs/t1/55068/28/3618/150287/5d158e2bE2eefd370/9438352891bf4184.jpg,水饺馄饨,冷藏冷冻
思念（sinian） 猪肉白菜灌汤水饺 1kg,11.9,182,https://img30.360buyimg.com/n1//jfs/t1/61360/37/3159/154173/5d158e2dEf3ec65ca/20b8529e86a1c3af.jpg,水饺馄饨,冷藏冷冻
思念 三鲜灌汤水饺 1kg,11.9,215,https://img30.360buyimg.com/n1//jfs/t1/40945/37/7824/137208/5d158e2fEa9472e76/228545844709b18b.jpg,水饺馄饨,冷藏冷冻
三全 虾仁胡萝卜儿童水饺 300g（42只装）,18.9,30,https://img30.360buyimg.com/n1//jfs/t1/55023/35/9273/139324/5d67b847E56dadbdd/5601ebfc66807617.jpg,水饺馄饨,冷藏冷冻
必品阁 王饺子玉米猪肉490g*2 980g,31.9,1,https://img30.360buyimg.com/n1//jfs/t1/64330/37/3114/176241/5d158e36Ec0374969/d32827a22fb21955.jpg,水饺馄饨,冷藏冷冻
三全 荠菜猪肉馄饨 40只装 500g,11.9,6,https://img30.360buyimg.com/n1//jfs/t1/34748/20/14543/105698/5d27f9dfEd97f4b86/a56f8b1f743af88e.jpg,水饺馄饨,冷藏冷冻
三全 儿童鳕鱼海苔水饺 300g,20.9,6,https://img30.360buyimg.com/n1//jfs/t1/82689/1/3090/99383/5d158e47E088894ad/abace24f4fdb2a1b.jpg,水饺馄饨,冷藏冷冻
三全 儿童水饺精品虾皇 300g,29.9,2,https://img30.360buyimg.com/n1//jfs/t1/46251/25/3592/634007/5d158e3fE71962722/eb46e76fe1b30a82.png,水饺馄饨,冷藏冷冻
