商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
Merries/妙而舒 日本进口 花王婴儿纸尿裤 大号(L) 54枚 9-14kg,98,23,https://img30.360buyimg.com/n1//jfs/t1/54007/10/5141/93259/5d2f274fEfc9e1134/3dd8bbce3008fb83.jpg,纸尿裤,宝贝中心
帮宝适 超薄干爽拉拉裤超值彩箱 124片(62*2) 加大码XL(12-17kg/公斤),175,11,https://img30.360buyimg.com/n1//jfs/t1/72159/18/4830/138847/5d302304E0f80b664/fd4f75bd4925af14.jpg,纸尿裤,宝贝中心
好奇（Huggies） 金装裤型纸尿裤 XXL加加大号 60片,128,9,https://img30.360buyimg.com/n1//jfs/t1/48765/35/11464/129988/5d8879a9Ead5c7d6f/1dfabe3d4349c8fd.jpg,纸尿裤,宝贝中心
好奇（Huggies） 金装裤型纸尿裤 XL加大号 80片,128,6,https://img30.360buyimg.com/n1//jfs/t1/79997/22/11068/114462/5d8879a9E97b69924/fa43d4fb198123b3.jpg,纸尿裤,宝贝中心
好奇（Huggies） 金装裤型纸尿裤 L大号 100片,128,6,https://img30.360buyimg.com/n1//jfs/t1/60280/26/11059/123492/5d8879a9E1d7ad759/ab87f0eb901ab22c.jpg,纸尿裤,宝贝中心
好奇（Huggies） 银装纸尿裤XL 52片,81.3,11,https://img30.360buyimg.com/n1//jfs/t1/56361/6/8096/115572/5d5a114dEefd1c54a/7cdd94110c69529d.jpg,纸尿裤,宝贝中心
好奇（Huggies） 金装纸尿裤 XL加大号 84片,138,12,https://img30.360buyimg.com/n1//jfs/t1/45508/31/8023/88176/5d5a1125E6dfce71b/b46e4f31474bc3bc.jpg,纸尿裤,宝贝中心
帮宝适 超薄干爽拉拉裤超值彩箱 90片(45*2) 加加大号XXL(≥15kg/公斤),175,7,https://img30.360buyimg.com/n1//jfs/t1/46988/11/5310/125484/5d302304Edf91d035/b734e824be8437f6.jpg,纸尿裤,宝贝中心
帮宝适 超薄干爽拉拉裤超值彩箱装 156片(78*2) 大号L(9-14kg/公斤),175,1,https://img30.360buyimg.com/n1//jfs/t1/81846/16/4852/159897/5d302304E8a197b3c/6062be58d4c8667d.jpg,纸尿裤,宝贝中心
大王（GOO.N） 短裤式纸尿裤 维E系列 XL 38片,108,1,https://img30.360buyimg.com/n1//jfs/t1/76598/11/12465/109578/5d9ea60fE8b78d223/a7c6572e78ac3dde.jpg,纸尿裤,宝贝中心
安儿乐 女宝宝扭扭弹力裤 XXL 26送4片,54.8,1,https://img30.360buyimg.com/n1//jfs/t1/54479/15/5319/182146/5d2f1882E5ddc0d04/5ebbed240c858020.jpg,纸尿裤,宝贝中心
好奇 铂金装透气纸尿裤 中号M 88片 6-11kg,138,3,https://img30.360buyimg.com/n1//jfs/t1/46836/33/9931/90517/5d710798Ea46efd0d/52102d6c87778e71.jpg,纸尿裤,宝贝中心
好奇（Huggies） 铂金装透气纸尿裤 大号L 72片 9-14片,138,5,https://img30.360buyimg.com/n1//jfs/t1/80999/22/9196/114261/5d710798Ed930cd85/91e194ba77362e7a.jpg,纸尿裤,宝贝中心
好奇（Huggies） 铂金装透气纸尿裤 L 52片,108,1,https://img30.360buyimg.com/n1//jfs/t1/66568/37/12591/95688/5d9f04a5E64d0e073/ffcb111fce299ef0.jpg,纸尿裤,宝贝中心
