商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
散装东北大米 约2.5kg,11.8,107,https://img30.360buyimg.com/n1//jfs/t27415/73/384811184/62315/e2469e0c/5b90dde4Nd96c3dd6.jpg,散装杂粮,干货杂粮
东北大米  1kg,3.98,51,https://img30.360buyimg.com/n1//jfs/t1/70894/1/11698/62315/5d90113dEdeb62130/a4f3ac2c3d714b6e.jpg,散装杂粮,干货杂粮
薄皮核桃  约500g,13,40,https://img30.360buyimg.com/n1//jfs/t1/8065/27/13045/79474/5c401adaE460f6b80/9b2b7e30a8009c9b.jpg,散装杂粮,干货杂粮
红枣 约300g,4.74,43,https://img30.360buyimg.com/n1//jfs/t27277/144/413280005/97077/8e0c32f1/5b90d8e2N2f61f14b.jpg,散装杂粮,干货杂粮
红枣 约300g,6.4,12,https://img30.360buyimg.com/n1//jfs/t1/30696/15/2591/208858/5c6d2ec1Efaf856a8/e993fd3b9899ad27.jpg,散装杂粮,干货杂粮
糯米粉 300g,4.5,5,https://img30.360buyimg.com/n1//jfs/t1/3560/13/300/81417/5b90fc9bE9a26ae1f/a1e6a3f5ede426e0.jpg,散装杂粮,干货杂粮
绿豆 400g,5.2,10,https://img30.360buyimg.com/n1//jfs/t1/3939/10/296/127790/5b90e1a2Eb09c66bc/6405c9b26ee92178.jpg,散装杂粮,干货杂粮
莲子 约100g,15.1,1,https://img30.360buyimg.com/n1//jfs/t30877/361/1562284296/100691/34e8a983/5ce4f70cN0f7c86b1.jpg,散装杂粮,干货杂粮
葡萄干 500g,21.4,5,https://img30.360buyimg.com/n1//jfs/t1/31901/9/2612/153959/5c6d2eb5Ed01117dd/f46fe0d266477936.jpg,散装杂粮,干货杂粮
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
花生米 500g,8.7,60,https://img30.360buyimg.com/n1//jfs/t1/50818/27/9165/98311/5d68ba03Eb85c1cf2/a79713ac3864d114.jpg,包装杂粮,干货杂粮
黑米 500g,7.8,63,https://img30.360buyimg.com/n1//jfs/t1/42757/22/13402/91583/5d68b9e8Edee6d23f/c300911d81d7ff95.jpg,包装杂粮,干货杂粮
惠宜 小米 500g,6.9,40,https://img30.360buyimg.com/n1//jfs/t1/64522/30/8838/117657/5d68ba79E795830b5/62faed61a75f1090.jpg,包装杂粮,干货杂粮
惠宜 黄豆 500g,6.1,37,https://img30.360buyimg.com/n1//jfs/t1/69030/6/8728/109525/5d68ba56E8ce68f91/a9612f35f2ec1bc4.jpg,包装杂粮,干货杂粮
惠宜 玉米糁 500g,6.9,22,https://img30.360buyimg.com/n1//jfs/t1/77281/27/8590/127095/5d68bab5E88dc4a0d/17ec0b1464eceb50.jpg,包装杂粮,干货杂粮
惠宜 薏苡仁 500g,13.9,29,https://img30.360buyimg.com/n1//jfs/t1/60514/32/8778/109042/5d68ba8dEd969d026/5da946a60a130aeb.jpg,包装杂粮,干货杂粮
惠宜 红皮花生仁 500g,11.9,25,https://img30.360buyimg.com/n1//jfs/t1/62625/13/8540/107177/5d68ba22E3ddb2017/ec2525cf58e6ab49.jpg,包装杂粮,干货杂粮
惠宜 红豆 约500g,8.7,27,https://img30.360buyimg.com/n1//jfs/t1/49736/18/9263/90133/5d68b9f0E6472f6d8/67af1947ab3da96c.jpg,包装杂粮,干货杂粮
人民 小米 500g,5.98,49,https://img30.360buyimg.com/n1//jfs/t1/75621/18/8836/172246/5d68b9d5E2190befa/8ebeea7b7ad6d9f5.jpg,包装杂粮,干货杂粮
惠宜 黑米 500g,8.7,20,https://img30.360buyimg.com/n1//jfs/t1/46669/5/9135/102077/5d68b9fbE0d342ec5/ddc9d9f3a7b6b955.jpg,包装杂粮,干货杂粮
人民 黑大豆 500g,8.7,12,https://img30.360buyimg.com/n1//jfs/t1/64188/24/8774/123825/5d68b9d5E5f4da5b0/8e942772753d5e39.jpg,包装杂粮,干货杂粮
人民 绿豆 500g,7.1,17,https://img30.360buyimg.com/n1//jfs/t1/39708/33/15564/154854/5d68b9d5E1c23c84f/8361875d7c32d219.jpg,包装杂粮,干货杂粮
人民 红小豆 500g,7.9,20,https://img30.360buyimg.com/n1//jfs/t1/47578/11/9232/152772/5d68ba67Ef0e4b469/baf24487fa50de80.jpg,包装杂粮,干货杂粮
惠宜 糙米 500g,8.8,25,https://img30.360buyimg.com/n1//jfs/t1/81135/38/797/103965/5cf0a885E1d50e974/deaf7d0984bc7456.jpg,包装杂粮,干货杂粮
惠宜 绿豆 500g,8.7,7,https://img30.360buyimg.com/n1//jfs/t1/83217/13/8611/119944/5d68ba78Ef04b8f75/d9685f9bfc867935.jpg,包装杂粮,干货杂粮
惠宜 花生仁 500g,10.5,8,https://img30.360buyimg.com/n1//jfs/t1/60793/5/8742/112411/5d68ba26E1f3ef5d8/5f6ba5eff12242ed.jpg,包装杂粮,干货杂粮
惠宜 黑豆 500g,8.7,4,https://img30.360buyimg.com/n1//jfs/t1/54291/28/9073/105395/5d68b9fbE76810157/262b4f2f3e593c8e.jpg,包装杂粮,干货杂粮
惠宜 赤砂糖 500g,7.8,5,https://img30.360buyimg.com/n1//jfs/t1/43007/38/13616/113985/5d68ba47E174d301a/d6b5eeae11c1c1f4.jpg,包装杂粮,干货杂粮
人民 苡仁 500g,8.98,14,https://img30.360buyimg.com/n1//jfs/t1/43737/2/13259/146267/5d68b9d5Efd98c247/f98a8518f62a6d00.jpg,包装杂粮,干货杂粮
人民 荞麦粥米 500g,17.9,1,https://img30.360buyimg.com/n1//jfs/t1/50512/20/12390/68802/5d916802Ed93e45e2/e49e2ec462b46283.jpg,包装杂粮,干货杂粮
