商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
蓝箭 A4多功能办公用纸 210*297mm 500张/包 70g/㎡,22.8,15,https://img30.360buyimg.com/n1//jfs/t1/50694/6/9571/93629/5d71bdf6E99df9087/fca39f95bc110689.jpg,文具,文娱用品
惠宜 圆珠笔 20支 0.7mm 蓝色,9.9,2,https://img30.360buyimg.com/n1//jfs/t1/62955/31/10680/129138/5d835db0Ee7a05ed4/5062468dc1202557.jpg,文具,文娱用品
惠宜 透明极简中性笔 4支 0.5mm 黑色,9.9,0,https://img30.360buyimg.com/n1//jfs/t1/69036/3/10857/77008/5d835dc5E275e6b2a/facf7a2630fd4e33.jpg,文具,文娱用品
惠宜 黑白套中性笔 4支 0.5mm 黑色,9.9,0,https://img30.360buyimg.com/n1//jfs/t1/73014/27/10865/71658/5d835dc4E12ff9b2f/6def5325abe6c25f.jpg,文具,文娱用品
惠宜 曲挂金属中性笔 黑色 0.5mm 2支,9.9,0,https://img30.360buyimg.com/n1//jfs/t1/69854/10/10617/65839/5d835dc0Ea3aee0ab/afa0cec5a8493a46.jpg,文具,文娱用品
惠宜 子弹头中性笔芯 20支 0.5mm 黑色,9.9,0,https://img30.360buyimg.com/n1//jfs/t1/60922/1/10801/122227/5d835db7E1e3c7780/9f287e1472343321.jpg,文具,文娱用品
惠宜 文具胶带 18mm*20y（约18.29米） 2卷,2.9,0,https://img30.360buyimg.com/n1//jfs/t1/60235/36/10846/177014/5d835da4E841b5574/e3090831b62ef098.jpg,文具,文娱用品
惠宜 封箱胶带 48mm*50y（约45.72m）（ 6卷装）,25.9,0,https://img30.360buyimg.com/n1//jfs/t1/75991/18/10764/54600/5d835d98E9ca6b3a1/dd1ad298174f681a.jpg,文具,文娱用品
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
AULDEY 爆裂飞车3-合体弹射系列-御星神 684301,129,1,https://img30.360buyimg.com/n1//jfs/t1/57429/38/12227/69565/5d91b1a9E2cdc5818/d4d5aa163454a580.jpg,玩具,文娱用品
AULDEY 飓风战魂5-合体系列陀螺-烈破炎龙合体加速版 634302H,69,3,https://img30.360buyimg.com/n1//jfs/t1/67289/34/11732/46549/5d91b1aeE68235f7c/7b17af6585123259.jpg,玩具,文娱用品
孩之宝 培乐多妙趣小套装 E1498/E0801 多种款式随机配送,19,1,https://img30.360buyimg.com/n1//jfs/t1/68373/31/8132/222663/5d5f82c3Ea6894442/703456048ad70aa2.jpg,玩具,文娱用品
HOT WHEELS/风火轮 火辣交通组合五辆装 1806,49,1,https://img30.360buyimg.com/n1//jfs/t1/71615/35/8048/101209/5d5f829aE02a38755/a482fbecbdb28f08.jpg,玩具,文娱用品
猎豹王 线控挖土车 8030,69.9,2,https://img30.360buyimg.com/n1//jfs/t1/79679/30/7661/87530/5d5bc6e4Ed4a499ba/f502a7759b23dc53.jpg,玩具,文娱用品
HOT WHEELS/风火轮 火辣小跑车 1个,12.9,2,https://img30.360buyimg.com/n1//jfs/t1/57721/29/8577/135698/5d5f8284E33897102/c70babbe47c1752d.jpg,玩具,文娱用品
AULDEY 爆裂飞车3-扫荡系列-猎天魄 684501,159,0,https://img30.360buyimg.com/n1//jfs/t1/46165/28/12247/93212/5d91b1a8E7ec1fef6/68f66b22cb951b80.jpg,玩具,文娱用品
新新精艺 梦幻蝴蝶披风 EW-9543 多种颜色随机配送,49.9,0,https://img30.360buyimg.com/n1//jfs/t1/64164/40/12478/62531/5d9dc948Ec2fa6747/1fa0b131d4f60b72.jpg,玩具,文娱用品
新新精艺 节日玩具 WS009 多种颜色随机配送,19.9,0,https://img30.360buyimg.com/n1//jfs/t1/49063/13/12983/63740/5d9dc948Efbe1d64c/897a3ccdd721c64d.jpg,玩具,文娱用品
