商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
国产柠檬 1个,1,1289,https://img30.360buyimg.com/n1//jfs/t1/73613/11/11079/120706/5d889e47E634a5ead/638334c534bd431e.jpg,国产水果,新鲜水果
盒装西州蜜瓜切片 约400g,9.9,56,https://img30.360buyimg.com/n1//jfs/t1/53437/36/8238/141025/5d5ce0f4E611bd01d/71c6928f9223fc59.jpg,国产水果,新鲜水果
冬枣 约250g,2.99,657,https://img30.360buyimg.com/n1//jfs/t1/41738/30/15838/115124/5d8820adEe70209a5/27b6671e31495b43.jpg,国产水果,新鲜水果
精品嘎啦苹果 约500g,4.3,253,https://img30.360buyimg.com/n1//jfs/t1/82466/25/7234/131527/5d54cc2bE52e9d68b/9cdcd8de925a061f.jpg,国产水果,新鲜水果
国产黑布林 约500g,7.11,77,https://img30.360buyimg.com/n1//jfs/t1/47228/15/8084/105596/5d5a015dE29b026a0/0de004c67dd10435.jpg,国产水果,新鲜水果
沃集鲜/Marketside 盒装西州蜜瓜25号切片 约400g,13.8,31,https://img30.360buyimg.com/n1//jfs/t1/70606/34/7934/180827/5d5ce1a9E27be9e0b/7c970bbc7f4f9eb6.jpg,国产水果,新鲜水果
西州蜜瓜 约1.5kg-2kg,17.2,39,https://img30.360buyimg.com/n1//jfs/t1/72110/39/7174/207444/5d552ed3E02889816/69c42ae317aedbae.jpg,国产水果,新鲜水果
木瓜 约800g,12.07,15,https://img30.360buyimg.com/n1//jfs/t1/82684/16/7940/148807/5d5f5d46Ef6d1dd9a/b6b1656968f585c6.jpg,国产水果,新鲜水果
欢乐果园/JOY TREE 软籽石榴（盒） 约500g,14.9,15,https://img30.360buyimg.com/n1//jfs/t30490/332/1325552488/139746/7ddf6e24/5cdd202dN1c89d691.jpg,国产水果,新鲜水果
黑美人西瓜 约3kg,19.3,13,https://img30.360buyimg.com/n1//jfs/t1/47024/13/7843/173625/5d552eedE011ed63b/b5a9596b8f999aba.jpg,国产水果,新鲜水果
澳洲橙 约1kg,25.71,2,https://img30.360buyimg.com/n1//jfs/t1/63774/33/11261/141252/5d889e48E57d4f952/d91196f6535ece3b.jpg,国产水果,新鲜水果
美瑞蜜瓜 约 2.2-2.5kg,43.1,1,https://img30.360buyimg.com/n1//jfs/t1/73748/12/7265/304422/5d552dedE5ae914c6/0d4cd978cdeb0c89.jpg,国产水果,新鲜水果
平和蜜柚(品牌) 约1.5kg,16.1,1,https://img30.360buyimg.com/n1//jfs/t27646/165/2381341392/160725/df5e686e/5c00ae2bN06cfc3b0.jpg,国产水果,新鲜水果
秋月梨 约1kg,21.6,2,https://img30.360buyimg.com/n1//jfs/t28408/246/1072548726/123110/32fecee0/5c062694Naa5baacc.jpg,国产水果,新鲜水果
维多利 三红柚礼盒 约2.3kg,39,2,https://img30.360buyimg.com/n1//jfs/t1/81765/19/9929/160706/5d770714E6017c415/9cfc23b57cbd9cc6.jpg,国产水果,新鲜水果
山东富士85 约1kg,19.4,4,https://img30.360buyimg.com/n1//jfs/t1/10143/28/4115/188572/5c0a3176Ed6539b23/c058188452e2eb08.jpg,国产水果,新鲜水果
黄肉蜜柚 约1.1kg-1.3kg,16.8,5,https://img30.360buyimg.com/n1//jfs/t26608/64/2276967026/179610/bef9e41/5bfd232dNd3995b37.jpg,国产水果,新鲜水果
欢乐果园/JOY TREE 树上熟冬枣(盒) 约450g,9.9,6,https://img30.360buyimg.com/n1//jfs/t1/76630/8/8687/90161/5d68b9ffEa850a67f/dcae720f0de32816.jpg,国产水果,新鲜水果
黑美人西瓜 约2.5kg,16.1,7,https://img30.360buyimg.com/n1//jfs/t1/47420/24/7671/173625/5d552f12Ec0fb6e39/8663194275a44c8c.jpg,国产水果,新鲜水果
水晶红富士 1kg,25.71,2,https://img30.360buyimg.com/n1//jfs/t1/49012/21/7787/151300/5d54cbe4Ecc187b88/68abe68f012e9713.jpg,国产水果,新鲜水果
新疆香梨(精品) 1kg,21.6,1,https://img30.360buyimg.com/n1//jfs/t28993/349/431346255/145542/89054d2/5bf3b386Ned51c5e7.jpg,国产水果,新鲜水果
冰糖心富士 约1kg,27.9,7,https://img30.360buyimg.com/n1//jfs/t26653/21/2002609215/193114/d025feb6/5bf3cdd7Ndd53d7fd.jpg,国产水果,新鲜水果
国产金奇异果 1个,3.2,4,https://img30.360buyimg.com/n1//jfs/t26656/226/2043740249/68452/15c0f43c/5bf529c6N56ec798d.jpg,国产水果,新鲜水果
箱装盐源苹果 约4kg,49.9,0,https://img30.360buyimg.com/n1//jfs/t1/79681/38/12822/115763/5d9feee9E78f7130e/2da7350901cd5065.jpg,国产水果,新鲜水果
国产黄柠檬 4个 约300g,5.9,16,https://img30.360buyimg.com/n1//jfs/t1/64754/22/11232/120706/5d889e47E0cc84e51/24250885d878e825.jpg,国产水果,新鲜水果
沃集鲜/Marketside 精品白肉柚 1个 约1250-1600g,8.8,182,https://img30.360buyimg.com/n1//jfs/t1/80667/5/10830/137760/5d81f536Ec6c5d3cf/f00781f401f040ca.jpg,国产水果,新鲜水果
三红蜜柚 1个 约1650-2000g,30.2,5,https://img30.360buyimg.com/n1//jfs/t1/64137/6/10053/179610/5d79e4d4E97245409/e7b46ddc723c450a.jpg,国产水果,新鲜水果
三红蜜柚 1个 约1250-1600g,24.1,5,https://img30.360buyimg.com/n1//jfs/t1/70619/31/10066/179610/5d79e4d4E75f8cdf4/27aa1aa49c956711.jpg,国产水果,新鲜水果
三红蜜柚 1个 约900-1200g,18.1,20,https://img30.360buyimg.com/n1//jfs/t1/45027/26/10444/179610/5d79e4d4E8dceb579/af0c5fc213543049.jpg,国产水果,新鲜水果
云南糖橙(袋) 约1kg,9.9,1,https://img30.360buyimg.com/n1//jfs/t1/48942/40/11933/187034/5d8d746fE486caa78/b0c6c4f8eddb0220.jpg,国产水果,新鲜水果
白肉柚子 3个装 约2.7kg-3.3kg,12.5,12,https://img30.360buyimg.com/n1//jfs/t27514/303/2083726438/160725/df5e686e/5bf76a40N31fda720.jpg,国产水果,新鲜水果
盐源丑苹果 约500g,5.98,7,https://img30.360buyimg.com/n1//jfs/t1/63796/27/11344/134868/5d8d746fE849fe3a9/ec1ae19a509d7a19.jpg,国产水果,新鲜水果
黄元帅苹果 1kg,13.96,0,https://img30.360buyimg.com/n1//jfs/t1/77148/34/12732/101898/5d9ff95aEdc551121/056705a3522a31ac.jpg,国产水果,新鲜水果
雪梨 约1kg (约3-4个）,6.44,223,https://img30.360buyimg.com/n1//jfs/t1/67878/37/9765/109762/5d762ed6Ebcfb247d/420aa27b24586bcc.jpg,国产水果,新鲜水果
新疆香梨(一级) 500g,8.62,0,https://img30.360buyimg.com/n1//jfs/t1/42470/31/15901/167730/5d889e12Eac9512d3/171e0d663e9fa760.jpg,国产水果,新鲜水果
红心猕猴桃 1个,3.5,133,https://img30.360buyimg.com/n1//jfs/t26392/364/389788563/284845/c66b32f1/5b90d6c8N32e91378.jpg,国产水果,新鲜水果
陕西红富士(精品) 1kg,19.4,10,https://img30.360buyimg.com/n1//jfs/t1/67094/40/12488/160000/5d9ff95aEb6e9c3d1/1d1b9c50c6d376df.jpg,国产水果,新鲜水果
水晶梨 约500g,3.22,842,https://img30.360buyimg.com/n1//jfs/t1/71687/13/9709/89552/5d76f8a2E76e5c8e6/fe75e4f6981686ae.jpg,国产水果,新鲜水果
陕西香梨 约500g,2.9,9,https://img30.360buyimg.com/n1//jfs/t1/75294/17/11649/149550/5d9170cdE6af8921b/d78b8fc92b4e9b64.jpg,国产水果,新鲜水果
红心蜜柚 1个 900-1200g,9.36,609,https://img30.360buyimg.com/n1//jfs/t1/44594/15/12481/239834/5d8d746fE114ec001/ab462e6ec91d2bdd.jpg,国产水果,新鲜水果
沃集鲜/Marketside 西州蜜瓜25号 约2.5kg/个,43.1,0,https://img30.360buyimg.com/n1//jfs/t1/61474/14/7234/164494/5d552f26Eff5faa53/564d6f41701458dc.jpg,国产水果,新鲜水果
什锦果盘 400g（以实物为准）,6.8,1,https://img30.360buyimg.com/n1//jfs/t1/32517/4/7025/121395/5c936557E3d6f71ab/0e6a5c80a657c98f.jpg,国产水果,新鲜水果
山东富士(80) 约600g,7.76,230,https://img30.360buyimg.com/n1//jfs/t1/78106/15/12645/188572/5d9ff95bEdc47d3f5/0b963172d5647df4.jpg,国产水果,新鲜水果
皇冠蜜梨 约1kg,10.78,56,https://img30.360buyimg.com/n1//jfs/t1/48057/32/11756/100310/5d89be82E0ce8e680/69a24fcdea4e642a.jpg,国产水果,新鲜水果
蜜桔 约500g,1.9,957,https://img30.360buyimg.com/n1//jfs/t1/42894/15/15891/168459/5d889e46E92ba11ad/5e68e931ae3d5af9.jpg,国产水果,新鲜水果
石榴 2个约500g,4.98,255,https://img30.360buyimg.com/n1//jfs/t1/54663/21/9814/89614/5d707225E60bb7129/75335faf06ac3c7f.jpg,国产水果,新鲜水果
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
佳沛 绿果10粒装 约500g,19.9,58,https://img30.360buyimg.com/n1//jfs/t1/66064/14/7865/223279/5d5bb32dEc5f6d09f/6d6a70f45e09462b.jpg,进口水果,新鲜水果
进口 蓝莓(盒) 125g,9.9,56,https://img30.360buyimg.com/n1//jfs/t1/38630/26/4209/160161/5cc813c3Eef3b3b1e/086a4312f165ddb7.jpg,进口水果,新鲜水果
进口  龙眼 约500g,7.5,123,https://img30.360buyimg.com/n1//jfs/t1/37267/15/7040/190608/5cc81357Ee75baf4b/755fab89140f962d.jpg,进口水果,新鲜水果
进口精品火龙果 约900-1kg,10.76,110,https://img30.360buyimg.com/n1//jfs/t1/45911/24/13080/174168/5d9ff95aEe11288cd/e37a68b3314368ed.jpg,进口水果,新鲜水果
都乐（Dole） 进口香蕉 约 1kg,11.96,489,https://img30.360buyimg.com/n1//jfs/t1/71202/4/12485/125816/5d9ff95aE61792c75/9da3c2c5d4a7fe75.jpg,进口水果,新鲜水果
进口  南非橙 约1kg,19.23,80,https://img30.360buyimg.com/n1//jfs/t1/63210/14/11207/118580/5d889e47E1dfe8218/94c44104b2bd7f28.jpg,进口水果,新鲜水果
进口 超甜蕉 约700g,11.9,36,https://img30.360buyimg.com/n1//jfs/t1/78037/28/3069/113914/5d146c97E8f63e310/f8f68aa860d5b0f0.jpg,进口水果,新鲜水果
牛油果 1个 约160g,6.98,48,https://img30.360buyimg.com/n1//jfs/t1/75860/35/8959/147557/5d6dfbc8E6d3f1137/a26ddf119336820f.jpg,进口水果,新鲜水果
都乐（Dole） 金菠萝 1个 约1kg （不提供切片服务）,13.9,44,https://img30.360buyimg.com/n1//jfs/t1/71693/38/11388/251602/5d8d7470E07387ed5/1a24b2c8c36b87c9.jpg,进口水果,新鲜水果
袋装澳洲橙 约950g,16.9,21,https://img30.360buyimg.com/n1//jfs/t1/52826/20/11089/144074/5d81f0a4E8575b8bc/1702dd17d7745567.jpg,进口水果,新鲜水果
佳沛金奇异果大125g （个）,11.8,22,https://img30.360buyimg.com/n1//jfs/t1/54546/23/4991/216743/5d2c1aa6E42046583/61b7b04b4f19cde1.jpg,进口水果,新鲜水果
进口甜心苹果 约500g,12.92,11,https://img30.360buyimg.com/n1//jfs/t1/52417/16/9326/111933/5d6a90a6Eec995a97/d76e93e76651f53a.jpg,进口水果,新鲜水果
