商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
禧天龙 小号凳子 日光红 D-2051,9.9,31,https://img30.360buyimg.com/n1//jfs/t1/33204/2/14107/46068/5d0af222E172b0ee6/b71c3c07e54d3c4e.jpg,居家日用,日用百货
简适/Simply Basic 格子女拖粉 37-38码（新旧规格随机发货）,9.9,32,https://img30.360buyimg.com/n1//jfs/t1/59845/4/9782/80020/5d75bc6fEae858a96/b2b07ce4579fb6a6.jpg,居家日用,日用百货
象太郎 浸塑加肩衣架蓝 43cm*10,9.9,47,https://img30.360buyimg.com/n1//jfs/t1/77749/29/8091/55523/5d5f82a4E8ec2b528/e62c272857274186.jpg,居家日用,日用百货
美丽雅 厚实强韧型垃圾袋 大号 50*60cm*20只*3卷 多种颜色随机配送,14.8,26,https://img30.360buyimg.com/n1//jfs/t1/72539/13/2432/180437/5d0b5b71E5a4c8b9d/ff55fd2e25af0721.jpg,居家日用,日用百货
huale/华乐 边彩条割绒绣花毛巾 74*34cm,19.9,21,https://img30.360buyimg.com/n1//jfs/t26125/172/1782683915/58575/f2057a20/5bed3333N6d7fcba0.jpg,居家日用,日用百货
金号 浮点提缎面巾 80*34cm 2条装,19.9,19,https://img30.360buyimg.com/n1//jfs/t1/77121/4/1567/85575/5cfdc0afE36abecc6/7028a22efbfa3513.jpg,居家日用,日用百货
立新 简式手提收纳箱 蓝 32*23*17cm 8L,9.8,19,https://img30.360buyimg.com/n1//jfs/t1/79440/14/8017/50877/5d5f8322E5bdd7667/38af1e4cce1afbf3.jpg,居家日用,日用百货
禧天龙 炫彩整理箱 59*43*35.5cm 53L,39.9,14,https://img30.360buyimg.com/n1//jfs/t1/72910/17/7874/54836/5d5f8294E339f510c/43f92059d0fbc201.jpg,居家日用,日用百货
简适/Simply Basic 格子男拖藏青 40-41码（新旧规格随机发货）,9.9,11,https://img30.360buyimg.com/n1//jfs/t1/76172/16/9742/104828/5d75bc68E64913311/4c3e9ef2c32d0931.jpg,居家日用,日用百货
简适/Simply Basic 格子男拖鞋藏青 42-43码（新旧规格随机发货）,9.9,20,https://img30.360buyimg.com/n1//jfs/t1/70350/10/9746/104828/5d75bc7bEb7bcceab/e1a5508bc2aceb99.jpg,居家日用,日用百货
简适 格子男拖深灰 42-43码,9.9,19,https://img30.360buyimg.com/n1//jfs/t30391/200/248096228/83094/3ab32962/5bed3433Nc6053946.jpg,居家日用,日用百货
妙洁 点断式保鲜袋 40只+80只+120只,14.8,17,https://img30.360buyimg.com/n1//jfs/t1/76146/36/6676/77535/5d4be30fEb153ac7c/3c15bd809e4117b2.jpg,居家日用,日用百货
明爵 2位独开转换器 MJ-122,19.9,8,https://img30.360buyimg.com/n1//jfs/t1/43539/37/12883/111504/5d637f55Ea32b4303/f3f0e53d79c10912.jpg,居家日用,日用百货
苏泊尔 臻惠陶瓷煲 3.2L TB32J1-O,99,3,https://img30.360buyimg.com/n1//jfs/t1/59939/30/8186/35967/5d5f8317E5d567c0b/c103e2251c68e6e5.jpg,居家日用,日用百货
金霸王 AA碱性电池 5号 1.5V 四粒装,11.9,1,https://img30.360buyimg.com/n1//jfs/t1/84482/32/5299/60691/5d3675f3E7c949fce/5782f6ce6ab393e2.jpg,居家日用,日用百货
金霸王 AAA碱性电池 7号 1.5V 四粒装,11.9,1,https://img30.360buyimg.com/n1//jfs/t1/73616/29/5155/67361/5d3675f2E8e83c607/50f5bdca9582b750.jpg,居家日用,日用百货
禧天龙 滑轮整理箱 X-6155 75L 蓝色,59.9,2,https://img30.360buyimg.com/n1//jfs/t1/41748/9/3731/43490/5ccff6ceEf38f1244/3f7428e6fc978985.jpg,居家日用,日用百货
九阳 电压力锅 摩卡棕 Y-50C23,398,2,https://img30.360buyimg.com/n1//jfs/t1/57708/5/12093/67759/5d903264Ec42d673b/d8707f5aa0c7c86f.jpg,居家日用,日用百货
惠宜 透明防水创口贴 20片,4.9,1,https://img30.360buyimg.com/n1//jfs/t1/74079/24/2117/73191/5d075323E5ff2ad0c/dce7e0d109998166.jpg,居家日用,日用百货
双枪 整竹砧板 40*28*2.2cm,79.9,1,https://img30.360buyimg.com/n1//jfs/t1/55313/37/8611/126349/5d5f82c5Edbe8065d/c7e75f1f3f963def.jpg,居家日用,日用百货
禧天龙 中号哈伦凳 蓝色 D-2053,19.9,6,https://img30.360buyimg.com/n1//jfs/t30640/78/281022786/50768/8f00eb4a/5bed32e2Nb94acbb4.jpg,居家日用,日用百货
简适 女士中腰三角内裤 XL 165/90 5条装,39.9,1,https://img30.360buyimg.com/n1//jfs/t30031/123/260831308/78373/232e3e0/5bed3393N7cefae8a.jpg,居家日用,日用百货
依之舍 男士平脚裤 XXXL 185/105 2条 灰色/蓝色,39.9,1,https://img30.360buyimg.com/n1//jfs/t27577/155/1797316431/128493/da7cef68/5bed333fN3249f85d.jpg,居家日用,日用百货
简适/Simply Basic 格子女拖粉 39-40码（新旧规格随机发货）,9.9,9,https://img30.360buyimg.com/n1//jfs/t1/79097/25/9635/80020/5d75bc6eE9b845e60/f99a73b8d6770c31.jpg,居家日用,日用百货
