商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 包装娃娃菜 约400g,3.9,312,https://img30.360buyimg.com/n1//jfs/t1/65558/7/11119/190817/5d88616cEd9f2ef5f/640f2558ef5951a8.jpg,叶菜类,时令蔬菜
沃集鲜/Marketside 包装生菜 约300g,4.9,349,https://img30.360buyimg.com/n1//jfs/t1/76710/17/11156/254218/5d886169E58960e65/4f7c26be6d0905a1.jpg,叶菜类,时令蔬菜
包装大白菜 约800g,5.9,91,https://img30.360buyimg.com/n1//jfs/t1/19798/5/13785/130177/5ca1b9faE3e8ebf49/8144f89218cc0130.jpg,叶菜类,时令蔬菜
沃集鲜/Marketside 包装上海青 约300g,5.9,69,https://img30.360buyimg.com/n1//jfs/t1/50874/9/4060/214017/5d1b28efE0c5a1760/9719a0f2ad783de9.jpg,叶菜类,时令蔬菜
包装小白菜 约300g,7.9,67,https://img30.360buyimg.com/n1//jfs/t1/76313/34/3477/210676/5d1b28d1E0eea64e6/a0baa36f79dbc73c.jpg,叶菜类,时令蔬菜
上海青 约450-500g,1.9,178,https://img30.360buyimg.com/n1//jfs/t1/50259/7/11577/148351/5d887430E471d4ce3/d4cff0cbc124f131.jpg,叶菜类,时令蔬菜
油麦菜 约450-500g,2.9,149,https://img30.360buyimg.com/n1//jfs/t1/83790/8/11237/236912/5d887431E453b267d/74853cca3bd5f065.jpg,叶菜类,时令蔬菜
包装芹菜 约200g,6.9,61,https://img30.360buyimg.com/n1//jfs/t1/54760/37/9971/231642/5d70bdb7E5da3853a/501cfc8baa018743.jpg,叶菜类,时令蔬菜
包装紫甘蓝 约600g,6.9,39,https://img30.360buyimg.com/n1//jfs/t1/17528/39/10457/203588/5c878db3E60debd76/ebbfdb17893a7b03.jpg,叶菜类,时令蔬菜
包装木耳菜 约300g,7.9,25,https://img30.360buyimg.com/n1//jfs/t1/70087/32/1286/169278/5cf8cc68Eab06fc29/00976f2564a0d030.jpg,叶菜类,时令蔬菜
