商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
七匹狼 男袜 3双装 26-28cm,29.9,3,https://img30.360buyimg.com/n1//jfs/t1/46289/5/8161/84044/5d5a8066E7ac08e97/f7215786803f4d8d.jpg,袜类,服装家纺
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
简适 女士便利棉内裤 L,19.9,14,https://img30.360buyimg.com/n1//jfs/t1/79068/37/8102/76353/5d5f82acE53de76e7/bc4655887ebaa121.jpg,内衣裤,服装家纺
简适 男士便利棉内裤 XL,19.9,15,https://img30.360buyimg.com/n1//jfs/t1/65847/32/8027/82761/5d5f82a7Eeff512b6/5f9f1290e316cb90.jpg,内衣裤,服装家纺
蝶安芬 净色平角裤 XL 3条装,29.9,3,https://img30.360buyimg.com/n1//jfs/t1/46462/19/8477/59887/5d5f82afE3d4f872c/682a2170e1f070a6.jpg,内衣裤,服装家纺
蝶安芬 净色平角裤 M 3条装,29.9,3,https://img30.360buyimg.com/n1//jfs/t1/80553/7/8053/60294/5d5f82aeEb6197bb3/2e9df7f0c73f02fb.jpg,内衣裤,服装家纺
简适 男士粘胶纤维平脚内裤 XL 175/95 三条装,49.9,1,https://img30.360buyimg.com/n1//jfs/t1/34989/34/9399/75637/5ccff64cE73e5e8a8/192b4e0b32cb219e.jpg,内衣裤,服装家纺
简适 男士粘胶纤维平脚内裤 XL 175/95 三条装,49.9,1,https://img30.360buyimg.com/n1//jfs/t1/41826/14/12705/76062/5d5f82efEbfdecbe4/41afe1afa89af5cd.jpg,内衣裤,服装家纺
简适 女士中腰平角内裤 L 160/85 五条装,39.9,2,https://img30.360buyimg.com/n1//jfs/t1/40300/3/15161/55651/5d5f82edEd9103f6d/55fbcf8cfba25457.jpg,内衣裤,服装家纺
简适/Simply Basic 女士便利棉内裤 5条装 M,19.9,9,https://img30.360buyimg.com/n1//jfs/t1/74097/21/8017/75376/5d5f82abE92b9c98f/47b6d7a569e21f73.jpg,内衣裤,服装家纺
简适 女士中腰三角内裤 XL 165/90 5条装,39.9,1,https://img30.360buyimg.com/n1//jfs/t30031/123/260831308/78373/232e3e0/5bed3393N7cefae8a.jpg,内衣裤,服装家纺
依之舍 男士平脚裤 XXXL 185/105 2条 灰色/蓝色,39.9,1,https://img30.360buyimg.com/n1//jfs/t27577/155/1797316431/128493/da7cef68/5bed333fN3249f85d.jpg,内衣裤,服装家纺
依之舍 男士抗菌平脚内裤 XXXL 2条装,49.9,0,https://img30.360buyimg.com/n1//jfs/t1/35063/16/9292/103358/5ccff5bfEbd8eb32a/c03d19a6ae982295.jpg,内衣裤,服装家纺
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
简适/Simply Basic 格子女拖粉 37-38码（新旧规格随机发货）,9.9,32,https://img30.360buyimg.com/n1//jfs/t1/59845/4/9782/80020/5d75bc6fEae858a96/b2b07ce4579fb6a6.jpg,拖鞋,服装家纺
简适/Simply Basic 格子男拖鞋藏青 42-43码（新旧规格随机发货）,9.9,20,https://img30.360buyimg.com/n1//jfs/t1/70350/10/9746/104828/5d75bc7bEb7bcceab/e1a5508bc2aceb99.jpg,拖鞋,服装家纺
简适/Simply Basic 格子男拖藏青 40-41码（新旧规格随机发货）,9.9,11,https://img30.360buyimg.com/n1//jfs/t1/76172/16/9742/104828/5d75bc68E64913311/4c3e9ef2c32d0931.jpg,拖鞋,服装家纺
简适 格子男拖深灰 42-43码,9.9,19,https://img30.360buyimg.com/n1//jfs/t30391/200/248096228/83094/3ab32962/5bed3433Nc6053946.jpg,拖鞋,服装家纺
简适  抗菌女士拖鞋 37-38 紫,19.9,6,https://img30.360buyimg.com/n1//jfs/t1/46913/26/8464/109740/5d5f831fE3b813ffc/9a7cc9757b48a6c6.jpg,拖鞋,服装家纺
简适/Simply Basic 格子女拖粉 39-40码（新旧规格随机发货）,9.9,9,https://img30.360buyimg.com/n1//jfs/t1/79097/25/9635/80020/5d75bc6eE9b845e60/f99a73b8d6770c31.jpg,拖鞋,服装家纺
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
huale/华乐 边彩条割绒绣花毛巾 74*34cm,19.9,21,https://img30.360buyimg.com/n1//jfs/t26125/172/1782683915/58575/f2057a20/5bed3333N6d7fcba0.jpg,毛巾,服装家纺
金号 浮点提缎面巾 80*34cm 2条装,19.9,19,https://img30.360buyimg.com/n1//jfs/t1/77121/4/1567/85575/5cfdc0afE36abecc6/7028a22efbfa3513.jpg,毛巾,服装家纺
仙迪 无捻彩格绣花童巾 25*50cm,7.9,11,https://img30.360buyimg.com/n1//jfs/t1/71474/21/8012/96576/5d5f82d2E1cb6308d/1856911b5f185d9f.jpg,毛巾,服装家纺
明庭 无捻面巾 34*76cm,19.8,1,https://img30.360buyimg.com/n1//jfs/t1/84324/36/7763/141868/5d5bc682E28b781cc/44f1516d6e328ba6.jpg,毛巾,服装家纺
艾菲 无捻缎边浴巾 灰 140*70,49.9,2,https://img30.360buyimg.com/n1//jfs/t1/65974/22/498/85884/5ceb8013E25d32ec8/7190af4e7a17a5b8.jpg,毛巾,服装家纺
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
恒发 纯棉四件套 4件（1件被套，1件床单，2件枕套） 适用于1.5/1.8米床,199,1,https://img30.360buyimg.com/n1//jfs/t1/52588/3/8529/208982/5d5f8284Ebbaa919d/72bce46e6309cf95.jpg,床上用品,服装家纺
好伴侣 舒柔四季被 150*210cm,99,4,https://img30.360buyimg.com/n1//jfs/t1/57811/40/8557/114016/5d5f8257E4959e5d4/06a292f86c1e9934.jpg,床上用品,服装家纺
百富帝 全棉抗菌防螨枕 48*74cm,84.5,0,https://img30.360buyimg.com/n1//jfs/t1/58430/29/8292/57406/5d5f82c2E629df05d/46461cfd185bfccb.jpg,床上用品,服装家纺
