商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
农夫山泉 饮用天然水 550ml*12瓶,12.8,404,https://img30.360buyimg.com/n1//jfs/t1/69774/40/1292/178554/5cf8c8b3Eb28c06a2/3d5a4236846af07b.jpg,饮用水,水饮冲调
农夫山泉 饮用天然水 5L,8,348,https://img30.360buyimg.com/n1//jfs/t1/58247/26/10902/78636/5d8047edE72e7d323/b578f7b46d2c7ab9.jpg,饮用水,水饮冲调
娃哈哈 无汽苏打水饮品 350ml（新旧包装，随机发货）,2.5,627,https://img30.360buyimg.com/n1//jfs/t1/23095/33/3205/64531/5c2496d8E5f32fde8/3487661db60ea3d2.jpg,饮用水,水饮冲调
冰露/ICE DEW 纯悦包装饮用水 6600ml(550ml*12瓶),16.8,78,https://img30.360buyimg.com/n1//jfs/t1/69442/30/10614/185724/5d8047faE8f4990ac/f51b0cf3afaf2ed3.jpg,饮用水,水饮冲调
怡宝 饮用纯净水 4.5L,7.5,370,https://img30.360buyimg.com/n1//jfs/t1/71093/16/10508/75465/5d8047e3E5c4a98fd/bc900f20cf9d571e.jpg,饮用水,水饮冲调
怡宝 饮用纯净水量贩装 555ml*12支,11.8,317,https://img30.360buyimg.com/n1//jfs/t1/31436/36/7052/100380/5c935054E66ad3de1/369d38057659d21b.jpg,饮用水,水饮冲调
农夫山泉 饮用天然水(适合婴幼儿) 1L,9,82,https://img30.360buyimg.com/n1//jfs/t1/41983/15/15070/76741/5d8047cbE7e56de89/6717577cfde106b9.jpg,饮用水,水饮冲调
农夫山泉 天然饮用水 4L,7.2,69,https://img30.360buyimg.com/n1//jfs/t1/68130/40/10402/52407/5d8047cdE8f07452a/9abfca57f1861e87.jpg,饮用水,水饮冲调
农夫山泉 饮用天然水大瓶装 1.5L,2.7,167,https://img30.360buyimg.com/n1//jfs/t1/82866/13/10455/51601/5d8047ceEd50c967e/ad96a80e797d86a5.jpg,饮用水,水饮冲调
农夫山泉 饮用天然水 380ml*12,9.9,246,https://img30.360buyimg.com/n1//jfs/t30259/110/1481910481/143320/68b5ff10/5ce21509N4bd60f3b.jpg,饮用水,水饮冲调
怡宝 饮用纯净水1.555L/瓶,2.5,121,https://img30.360buyimg.com/n1//jfs/t1/40114/25/10127/89088/5d142daaEda7edbf9/5650af710641d061.jpg,饮用水,水饮冲调
农夫山泉 天然矿泉水 535ml,2.7,46,https://img30.360buyimg.com/n1//jfs/t1/78991/36/10663/60807/5d8047e2E19ba05da/21469accd7d17c3c.jpg,饮用水,水饮冲调
怡宝 饮用纯净水 555ml,1.4,47,https://img30.360buyimg.com/n1//jfs/t1/29770/8/11849/49812/5c935058E9ec36d73/0e6c943751ba429d.jpg,饮用水,水饮冲调
光能 绵柔超纯苏打水（无汽）饮料 420ml*6,14.5,28,https://img30.360buyimg.com/n1//jfs/t1/29120/6/7823/132225/5c6e412fEced01804/052b4391a52b494e.jpg,饮用水,水饮冲调
怡宝 饮用纯净水 350ml*12支,14.8,23,https://img30.360buyimg.com/n1//jfs/t1/28301/37/11917/188264/5c935052E9b887004/21497a077c2a3610.jpg,饮用水,水饮冲调
百岁山 矿泉水 348ml*6瓶,10.9,30,https://img30.360buyimg.com/n1//jfs/t1/81161/6/1281/173296/5cf8c8cbEb7a5b4d4/363054d9e3ed3b8f.jpg,饮用水,水饮冲调
景田 饮用纯净水组合装 360ml*12,11.9,17,https://img30.360buyimg.com/n1//jfs/t1/66216/29/10479/87563/5d8047e9E26637ca6/f78a3e18631b9df5.jpg,饮用水,水饮冲调
农夫山泉 天然水 550ml,1.5,14,https://img30.360buyimg.com/n1//jfs/t1/70816/40/10460/53056/5d8047e1E027312db/e70fc5cfc52d1202.jpg,饮用水,水饮冲调
昆仑山 雪山矿泉水 6*510ml,27.9,1,https://img30.360buyimg.com/n1//jfs/t1/77639/16/10452/109516/5d804824E719dd524/1e67c70baaed0e51.jpg,饮用水,水饮冲调
阿尔卑斯 饮用天然矿泉水 500ml*6,10.8,5,https://img30.360buyimg.com/n1//jfs/t1/18006/6/10740/126376/5c88a63dEa26cd5bb/387cbd5bf221f52f.jpg,饮用水,水饮冲调
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
NFC 100%橙汁 300ml,6,127,https://img30.360buyimg.com/n1//jfs/t1/60457/34/10462/57753/5d8047e7E00f54315/b11d1876eb6a0aea.jpg,果汁,水饮冲调
农夫山泉 水溶C100柠檬味复合果汁饮料 445ml,4.5,34,https://img30.360buyimg.com/n1//jfs/t1/84627/6/10967/43721/5d8047c3Ee21237ec/408321186103466a.jpg,果汁,水饮冲调
汇源 100%橙汁 1L,13.2,46,https://img30.360buyimg.com/n1//jfs/t1/17858/32/6109/99593/5c46b28dEe3bc1480/b89f4a83098806c6.jpg,果汁,水饮冲调
