商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
鲜美来 虾滑 150g,19.8,55,https://img30.360buyimg.com/n1//jfs/t1/62306/12/10626/86656/5d8036e3E655e6f3d/5808036f5746c854.jpg,必买海鲜,海鲜荟萃
厄瓜多尔虾50/60 约250g,21.5,69,https://img30.360buyimg.com/n1//jfs/t1/14572/40/12365/188289/5c983fe0E6e92aade/dfcd03c5ae425a1c.jpg,必买海鲜,海鲜荟萃
清水大闸蟹F 75-95g 只,9.9,304,https://img30.360buyimg.com/n1//jfs/t1/76931/16/10558/256056/5d80f0d0Ec0016fdd/c27087efe7d3717a.jpg,必买海鲜,海鲜荟萃
冰鲜海鲈鱼 1条 400g,15.8,38,https://img30.360buyimg.com/n1//jfs/t1/52652/4/10547/63059/5d7897a0E59e9061c/7edb2f3169ef9b41.jpg,必买海鲜,海鲜荟萃
渔乐厨房 鳕蟹柳(速冻模拟蟹肉) 100g,14.8,21,https://img30.360buyimg.com/n1//jfs/t1/56641/36/10985/127691/5d7f066cE65b7c8cf/c2bd522b42ee0434.jpg,必买海鲜,海鲜荟萃
金鲳鱼条 约300g,12.8,23,https://img30.360buyimg.com/n1//jfs/t1/75304/6/9384/136916/5d70bdbbEc6d58f5d/e3a83bb582fbe7e8.jpg,必买海鲜,海鲜荟萃
厄瓜多尔虾 50/60  500g,42.99,25,https://img30.360buyimg.com/n1//jfs/t1/60968/22/11531/188289/5d8e01a7Ef89a5ae9/ddd5db75d6b17d08.jpg,必买海鲜,海鲜荟萃
清水大闸蟹公特 约175g 只,38,14,https://img30.360buyimg.com/n1//jfs/t1/48585/40/10656/158009/5d7b0a67Ecdcdddea/d34c27d68c03b3da.jpg,必买海鲜,海鲜荟萃
黄花鱼（条） 约200g,12.8,18,https://img30.360buyimg.com/n1//jfs/t1/77670/12/9914/176535/5d7897a3Ebe7db54e/ff6349a3d5423a60.jpg,必买海鲜,海鲜荟萃
鲜美来 巴沙鱼片 200g,15.8,14,https://img30.360buyimg.com/n1//jfs/t1/58323/34/10587/107725/5d7a3de2Efc176383/4433ae5bee1c995c.jpg,必买海鲜,海鲜荟萃
活鲫鱼 约350g/条,7.94,12,https://img30.360buyimg.com/n1//jfs/t1/63801/33/10002/102406/5d7a2fd3E859c3642/bf3b2246287da61e.jpg,必买海鲜,海鲜荟萃
