商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 奥尔良烤鸡全腿 2个,16,76,https://img30.360buyimg.com/n1//jfs/t1/34092/26/13977/245535/5d09e138E0a47f471/134d4c3ca05a3cb0.jpg,人气推荐,熟食快餐
芝麻球 8个 约160g,5,35,https://img30.360buyimg.com/n1//jfs/t1/60225/31/8473/181787/5d663920Eb198ad6f/be1d18f72767e41d.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 藤椒味炸鸡排 2个,10,48,https://img30.360buyimg.com/n1//jfs/t1/56386/14/9885/240872/5d72196bEa7597e89/2f7212d84ec3c3ca.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 樟茶烤鸭,19.8,32,https://img30.360buyimg.com/n1//jfs/t1/52508/39/2817/293964/5d09e138E80cc131c/2aee43f447257e7c.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 彩色馒头（奶香、紫薯、南瓜、菠菜） 8个,5,35,https://img30.360buyimg.com/n1//jfs/t10867/52/2891171512/103794/e213d0ef/5cdbedd3N924edadd.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 原味炸鸡翅根 5个,13,39,https://img30.360buyimg.com/n1//jfs/t1/61135/22/2278/203744/5d09e138Ea9842ba4/44cf6fe6af25dfa9.jpg,人气推荐,熟食快餐
葱香小油条 约200g,5,22,https://img30.360buyimg.com/n1//jfs/t1/62856/32/8573/178537/5d663921E5145d955/b37c4ff863e74b52.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 炸鳕鱼排 5个,15,13,https://img30.360buyimg.com/n1//jfs/t1/39483/36/9188/242665/5d09e14cEb5032ebc/86480d1dec0d511b.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 奥尔良烤鸡翅中 5个,14,17,https://img30.360buyimg.com/n1//jfs/t1/62805/27/2290/204410/5d09e13dE492c3a13/8bb22a49aa032fb2.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 藤椒味炸鸡翅根 5个,16,7,https://img30.360buyimg.com/n1//jfs/t1/78263/13/2794/288896/5d10ab74E64c78d41/e5690e1508403cdb.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 奥尔良烤鸡小腿 3个,16,6,https://img30.360buyimg.com/n1//jfs/t1/71050/35/2796/228150/5d10ab73E125bfdf4/c580a061f412a918.jpg,人气推荐,熟食快餐
沃集鲜/Marketside 公仔包（鸡仔包、猴仔包、熊猫包、猪仔包）6个,6.5,10,https://img30.360buyimg.com/n1//jfs/t11095/340/2916818946/116213/7c37f66a/5cdbed98N5546fb4f.jpg,人气推荐,熟食快餐
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 黄金鸡块 10个,6,35,https://img30.360buyimg.com/n1//jfs/t1/62884/37/6416/111448/5d47dbc6Eb310475e/118988683a39f9c2.jpg,自制熟食,熟食快餐
正大食品 盐水鸭 300g,9.9,29,https://img30.360buyimg.com/n1//jfs/t1/61191/5/6099/166767/5d42909fE51793593/b0a0f07f8f6011d2.jpg,自制熟食,熟食快餐
樟茶板鸭 约600g,21.8,29,https://img30.360buyimg.com/n1//jfs/t1/34880/5/7262/91777/5cc6d11aEfcf5c4d4/a62b00f063033c90.jpg,自制熟食,熟食快餐
沃集鲜/Marketside 原味炸鸡小腿 3个,10,25,https://img30.360buyimg.com/n1//jfs/t1/59361/1/9299/81949/5d72196cEa8fca9f0/27e632d8f73a82ad.jpg,自制熟食,熟食快餐
沃集鲜/Marketside 藤椒烤鸡,18.8,20,https://img30.360buyimg.com/n1//jfs/t1/81550/18/10942/122348/5d843c27E6986e22c/f50e52846caf3951.jpg,自制熟食,熟食快餐
沃集鲜/Marketside 藤椒炸鸡小腿 3个,10,14,https://img30.360buyimg.com/n1//jfs/t1/77353/25/9338/247205/5d72196bE5297c43e/509ee85d3bc0fc0f.jpg,自制熟食,熟食快餐
脆皮香蕉 6个/份,5,14,https://img30.360buyimg.com/n1//jfs/t1/53061/35/3320/183200/5d10a0b1Eb15fbfc4/c61980cb6f4cc7cc.jpg,自制熟食,熟食快餐
沃集鲜/Marketside 红糖方糕 2个,5,16,https://img30.360buyimg.com/n1//jfs/t1/30417/34/6939/132581/5c935edfEca3fa791/a2dea68fbf85a120.jpg,自制熟食,熟食快餐
烟鸭胸 2个,15,3,https://img30.360buyimg.com/n1//jfs/t1/49839/33/2111/97030/5cff014bEfa8623cb/80590c01daad2c0b.jpg,自制熟食,熟食快餐
手撕鸡 约350g,20.8,7,https://img30.360buyimg.com/n1//jfs/t29107/267/1302964105/146285/791f4e30/5cdcc803N3abc1bdd.jpg,自制熟食,熟食快餐
沃集鲜/Marketside 藤椒味炸鸡翅中 5个,19,1,https://img30.360buyimg.com/n1//jfs/t1/66275/26/2776/295772/5d10ab74Eb71334b9/b8f425237cf8cce8.jpg,自制熟食,熟食快餐
香芋地瓜丸8个 约180g,5,3,https://img30.360buyimg.com/n1//jfs/t1/55904/27/8869/144769/5d663921Ef5459da4/f22083e2cdb54e3a.jpg,自制熟食,熟食快餐
沃集鲜/Marketside 原味炸鸡翅中 5个,18,1,https://img30.360buyimg.com/n1//jfs/t1/50144/21/3793/181416/5d19d266E9816f4b5/db01a99115720485.jpg,自制熟食,熟食快餐
泰森 熟制鸡胸条（黑松露味）150g,13.8,11,https://img30.360buyimg.com/n1//jfs/t1/50353/30/10460/151585/5d79b0b4E75d5b632/4d679eed736c0b7c.jpg,自制熟食,熟食快餐
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
DEYIGREEN/得益绿色 红烧牛肉 自热方便米饭 420g,13.9,44,https://img30.360buyimg.com/n1//jfs/t1/17934/16/2154/185657/5c1a1007Ec5603254/2d5b6a71d6dc0cbb.jpg,面点快餐,熟食快餐
脆皮香蕉 6个/份,5,14,https://img30.360buyimg.com/n1//jfs/t1/53061/35/3320/183200/5d10a0b1Eb15fbfc4/c61980cb6f4cc7cc.jpg,面点快餐,熟食快餐
厨师（Chushi） 包装宫保鸡丁饭 445g(米饭300g+菜肴145g),13.9,5,https://img30.360buyimg.com/n1//jfs/t1/70519/26/3349/85864/5d19d2d2E81b51e65/fdbfa22f69756ce5.jpg,面点快餐,熟食快餐
香芋地瓜丸8个 约180g,5,3,https://img30.360buyimg.com/n1//jfs/t1/55904/27/8869/144769/5d663921Ef5459da4/f22083e2cdb54e3a.jpg,面点快餐,熟食快餐
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
米婆婆 米酒  900g,12.9,61,https://img30.360buyimg.com/n1//jfs/t1/62068/25/5723/95792/5d3e87e9Eb597077f/fe6b5b55fedc41b5.jpg,特色小吃,熟食快餐
巨龙 米酒+红糖醪糟 828g（418g+410g）,9.9,73,https://img30.360buyimg.com/n1//jfs/t1/59445/15/4963/154147/5d31231eE9cbe32c7/f8300d34d2707b8f.jpg,特色小吃,熟食快餐
丰岛 鲜果捞桔子罐头 227g,4.9,15,https://img30.360buyimg.com/n1//jfs/t11227/359/3009546110/90167/d0b3b8cd/5cde3321Naa07157c.jpg,特色小吃,熟食快餐
丰岛 鲜果捞黄桃罐头 227g,4.9,18,https://img30.360buyimg.com/n1//jfs/t30205/122/1372709489/83572/efd7aa0b/5cde3321N40e7ad1f.jpg,特色小吃,熟食快餐
洪湖农家 洪湖藕带 350g,9.9,8,https://img30.360buyimg.com/n1//jfs/t1/42195/25/6298/179193/5cff1473E571a6ee2/11b130c57b17d78e.jpg,特色小吃,熟食快餐
惠宜 佬米酒 888g,9.8,13,https://img30.360buyimg.com/n1//jfs/t1/23863/32/12492/92518/5c98a6d0E4c9cccc7/5bf41edbc186f8bd.jpg,特色小吃,熟食快餐
米之世家 糯米酒 1.5L （新旧包装随机配送）,9.9,1,https://img30.360buyimg.com/n1//jfs/t1/56906/36/5757/63933/5d37efe1Ec8b4d866/9a736c584579e71d.jpg,特色小吃,熟食快餐
张飞 泡椒兔丁 170g,12,5,https://img30.360buyimg.com/n1//jfs/t28228/308/1276773525/144006/e69c062/5cdaa618N51f744dd.jpg,特色小吃,熟食快餐
惠宜 海鲜味即食海蜇丝 160g,4.5,3,https://img30.360buyimg.com/n1//jfs/t1/61903/4/3487/141026/5d1afac5Eb45ab5ce/b0ae243ce5f5b606.jpg,特色小吃,熟食快餐
米之世家 孝感佬米酒 400g,4.8,6,https://img30.360buyimg.com/n1//jfs/t1/74858/26/4889/140919/5d316209E95318037/1b6775620f28e67c.jpg,特色小吃,熟食快餐
金帅 德州五脱香骨扒鸡 500g,16.8,5,https://img30.360buyimg.com/n1//jfs/t1/16722/16/8067/203441/5c713e0cE72328f7d/29d89b3707c69a30.jpg,特色小吃,熟食快餐
