商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
菊乐 有机鲜牛奶 950ml,17.9,79,https://img30.360buyimg.com/n1//jfs/t1/35526/27/9865/71713/5cd1461aEedff65db/1ce5a3cd6bc1cad9.jpg,鲜牛奶,牛奶酸奶
New Hope/新希望 巴氏鲜牛奶 250ml,5,88,https://img30.360buyimg.com/n1//jfs/t1/78197/24/11080/49814/5d899123E494a2e98/1bc9666f3c40ee2e.jpg,鲜牛奶,牛奶酸奶
New Hope/新希望 24小时 鲜牛乳 950ml,18.9,76,https://img30.360buyimg.com/n1//jfs/t1/33856/27/1225/71165/5ca48d61E7dfa89c2/64c3b707781c62ca.jpg,鲜牛奶,牛奶酸奶
New Hope/新希望 鲜牛奶 950ml,15.5,58,https://img30.360buyimg.com/n1//jfs/t1/18560/34/13966/96241/5ca48d60Ea7e5d9eb/391139f1bc273576.jpg,鲜牛奶,牛奶酸奶
New Hope/新希望 鲜牛奶 980ml,13,123,https://img30.360buyimg.com/n1//jfs/t1/32516/33/9216/90550/5ca48d5fE44146b44/d6969e89d87e810e.jpg,鲜牛奶,牛奶酸奶
菊乐 农场鲜牛奶 950ml,14.8,146,https://img30.360buyimg.com/n1//jfs/t1/43429/2/4234/86593/5cd145c8E663496f1/ebce726a150deae3.jpg,鲜牛奶,牛奶酸奶
光明 巴士杀菌乳鲜牛奶 980ml,13.9,190,https://img30.360buyimg.com/n1//jfs/t1/37223/21/9779/77748/5cd1459eE36dfdc0f/f1a7c571659b5877.jpg,鲜牛奶,牛奶酸奶
新希望 低脂鲜牛奶 950ml,18.9,34,https://img30.360buyimg.com/n1//jfs/t25546/107/502895254/73428/d26a1841/5b7252c6N2c9f0f9e.jpg,鲜牛奶,牛奶酸奶
杨森乳业 鲜牛奶 980ml,9.9,38,https://img30.360buyimg.com/n1//jfs/t18055/98/2089838779/86299/a3906163/5ae85483Nbc8f7659.jpg,鲜牛奶,牛奶酸奶
菊乐 鲜牛奶 1L,11.2,39,https://img30.360buyimg.com/n1//jfs/t1/39905/31/6494/80120/5cd145d7E8e0129fa/c410962d99015d12.jpg,鲜牛奶,牛奶酸奶
新希望 有机鲜牛奶 950ml ,29.9,30,https://img30.360buyimg.com/n1//jfs/t1/21027/26/14122/62962/5ca48d91Eaab6f3da/cbb285263b37c871.jpg,鲜牛奶,牛奶酸奶
优倍 屋顶装鲜奶950ml,14.9,9,https://img30.360buyimg.com/n1//jfs/t1/78807/14/10947/60918/5d899138E3e3ff577/7084889ea13bf711.jpg,鲜牛奶,牛奶酸奶
New Hope/新希望 12小时家庭农场鲜牛乳 950ml,14.9,17,https://img30.360buyimg.com/n1//jfs/t1/25558/22/14029/99544/5ca48d63Eaeadf3c5/6a524b9860271ec7.jpg,鲜牛奶,牛奶酸奶
New Hope/新希望 新亚 华西鲜牛奶  220ml,3,13,https://img30.360buyimg.com/n1//jfs/t1/30182/25/9231/104729/5ca48d5dEfc3135c0/8a2673f15961a65c.jpg,鲜牛奶,牛奶酸奶
牧牌 德国进口 脱脂纯牛奶（灭菌乳） 1L*6,78,8,https://img30.360buyimg.com/n1//jfs/t1/74203/3/9278/137470/5d6fb8c1E349d4298/44744ae004d692bf.jpg,鲜牛奶,牛奶酸奶
New Hope/新希望 24小时鲜牛乳 500ml,11.5,7,https://img30.360buyimg.com/n1//jfs/t19783/98/2135726916/106739/83c2a42e/5ae854a7Nda1186d3.jpg,鲜牛奶,牛奶酸奶
ALTIPLANO/澳特兰 有机鲜牛奶 250ml,10.5,1,https://img30.360buyimg.com/n1//jfs/t17935/24/2185903530/38502/518dd70a/5ae966f3N1e7cfa65.jpg,鲜牛奶,牛奶酸奶
光明 鲜牛奶 500ml,7.5,3,https://img30.360buyimg.com/n1//jfs/t1/37648/21/9796/108145/5cd14589Ede872bd0/8651f8581b7e03cb.jpg,鲜牛奶,牛奶酸奶
伊利 纯牛奶 180ml,1.9,1183,https://img30.360buyimg.com/n1//jfs/t1/65656/40/12627/91276/5da0474bE92c77611/3d72e821c91c6e83.jpg,鲜牛奶,牛奶酸奶
伊利纯牛奶 180ml*16袋,29.9,74,https://img30.360buyimg.com/n1//jfs/t1/70349/34/12646/65124/5da0474eE3d964e07/cfe560be080cbee7.jpg,鲜牛奶,牛奶酸奶
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
纯甄 红枣枸杞风味酸奶 高端纯享系列 200g×10,39.9,58,https://img30.360buyimg.com/n1//jfs/t1/80579/35/11190/137834/5d899149E7102dfe1/10980a771bc6dca6.jpg,冷藏酸奶,牛奶酸奶
伊利 芝士奶香风味发酵乳 180g,3.3,98,https://img30.360buyimg.com/n1//jfs/t1/54003/10/13123/131444/5da046d1E2ee6c886/17fdcbf923077c63.jpg,冷藏酸奶,牛奶酸奶
菊乐 原动原味酸奶（风味酸乳） 160g*6杯,9.9,201,https://img30.360buyimg.com/n1//jfs/t1/36913/8/9766/121771/5cd145dbE06e2b212/12e418fb6feda879.jpg,冷藏酸奶,牛奶酸奶
伊利 原味风味发酵乳 100g*16杯 新旧包装随机配送,14.8,120,https://img30.360buyimg.com/n1//jfs/t1/39788/19/12634/100974/5d3c1fc8E6f3468ef/c00f038c03af33c5.jpg,冷藏酸奶,牛奶酸奶
杨森乳业 无蔗糖原味酸牛奶 1.25kg,14.9,122,https://img30.360buyimg.com/n1//jfs/t1/30069/19/9235/91169/5ca48d5dE117063e9/325279df76aadd3f.jpg,冷藏酸奶,牛奶酸奶
伊利 大果粒风味发酵乳 草莓桑葚 260g,6.9,55,https://img30.360buyimg.com/n1//jfs/t1/62951/34/12727/168724/5da046e6E31604cea/ac7c174fb0e0b439.jpg,冷藏酸奶,牛奶酸奶
伊利 黄桃+草莓大果粒 260g,6.9,74,https://img30.360buyimg.com/n1//jfs/t1/54158/29/13236/156378/5da04700Ef7f8bbcc/f8dc9334ced3e4d1.jpg,冷藏酸奶,牛奶酸奶
伊利 百香果风味发酵乳 180g,3.3,50,https://img30.360buyimg.com/n1//jfs/t1/76979/8/12776/135112/5da046f0Edea20496/c1144c45d9cf8332.jpg,冷藏酸奶,牛奶酸奶
菊乐 经典原味法式酸奶 200g*12盒 2400g,39.9,39,https://img30.360buyimg.com/n1//jfs/t1/38326/5/6470/127918/5cd145deE404a579a/5bc5932e44a4077d.jpg,冷藏酸奶,牛奶酸奶
伊利 畅轻风味发酵乳 燕麦+芒果味酸奶 250g,4.9,40,https://img30.360buyimg.com/n1//jfs/t1/75067/7/12725/58890/5da0470fE3b170b7e/602b0e8266565188.jpg,冷藏酸奶,牛奶酸奶
新希望 活润益生菌风味发酵乳 160g*8,19.2,58,https://img30.360buyimg.com/n1//jfs/t27886/70/2567942164/142358/2a229b7f/5c04f86dN05db6c1d.jpg,冷藏酸奶,牛奶酸奶
菊乐 醇酸奶风味发酵乳 180g,2.5,138,https://img30.360buyimg.com/n1//jfs/t1/40078/4/6449/63933/5cd1460bE1d199c6a/8327b00cb39069b7.jpg,冷藏酸奶,牛奶酸奶
蒙牛 原味风味酸牛乳 100g*16杯,23.8,114,https://img30.360buyimg.com/n1//jfs/t1/78825/20/11187/97219/5d89af34Ef1fd88df/fcf05f6cf3ac75b2.jpg,冷藏酸奶,牛奶酸奶
新希望 红枣汁风味酸牛奶 160g*8杯,12,111,https://img30.360buyimg.com/n1//jfs/t1/78443/22/9118/143905/5d899131Ed23632c6/d55a823148debbbe.jpg,冷藏酸奶,牛奶酸奶
New Hope/新希望 初心风味发酵乳 250g,6.8,91,https://img30.360buyimg.com/n1//jfs/t23365/110/2041858688/48380/119d94d1/5b7392a5N1d91fea5.jpg,冷藏酸奶,牛奶酸奶
新希望 风味酸牛奶 原味 1.2kg（新旧包装随机配送）,10.9,312,https://img30.360buyimg.com/n1//jfs/t1/78654/21/11201/47638/5d89912fE9346d7dd/c88c4656bbd0b608.jpg,冷藏酸奶,牛奶酸奶
