商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
福临门 精选东北大米 5kg（新旧包装随机发货）,27.9,388,https://img30.360buyimg.com/n1//jfs/t1/52648/3/8202/142440/5d5b987bE4eb44aac/a0815afd44162832.jpg,米,粮油副食
爱普莎 柬埔寨进口 千禧柬埔寨香米 5kg,49.9,54,https://img30.360buyimg.com/n1//jfs/t1/31068/2/5668/147234/5c87846cE77de59c7/aad983b05cbcdea4.jpg,米,粮油副食
惠宜 东北大米 10kg（新旧包装随机发货）,46.9,284,https://img30.360buyimg.com/n1//jfs/t1/71563/7/7614/144614/5d5b987bE02ec2a90/ff15603e9201af40.jpg,米,粮油副食
金龙鱼 优选长粒香米 10kg,65.8,36,https://img30.360buyimg.com/n1//jfs/t1/56186/38/7289/152629/5d4d4385E0f45dce5/3bef9080a859c548.jpg,米,粮油副食
五丰 寒地长粒香米 5kg,39.9,38,https://img30.360buyimg.com/n1//jfs/t1/62669/21/9845/137555/5d77560cE25e839db/302aa8eb5750d019.jpg,米,粮油副食
HUAZHONGHUA/花中花 大米(银丝香米) 10kg,66.3,60,https://img30.360buyimg.com/n1//jfs/t20236/114/2315420248/151166/e74ea1eb/5b518257N19e71ace.jpg,米,粮油副食
五丰 盘锦清香米 5kg/袋,29.9,57,https://img30.360buyimg.com/n1//jfs/t1/62410/6/7578/116907/5d5a461cE935358fe/f61dc1f9b5ade122.jpg,米,粮油副食
金龙鱼 雪粳稻东北大米 5kg（新旧包装，随机发货）,33.8,245,https://img30.360buyimg.com/n1//jfs/t1/46712/7/10450/145793/5d7867a5Ef8755ea9/a0fcfcc54e40e106.jpg,米,粮油副食
香满园 特选珍珠米(东北大米) 5kg（新旧包装，随机发货）,28.3,553,https://img30.360buyimg.com/n1//jfs/t1/68838/16/6791/179916/5d4d4427E81c00c51/5b2025bfd8a8de0a.jpg,米,粮油副食
泰金香 茉莉香米 5kg,32.8,146,https://img30.360buyimg.com/n1//jfs/t1/542/10/10326/189517/5bca0133E1bc1a849/e83ca6f08c95568e.jpg,米,粮油副食
五丰 沃选珍珠米 10kg,58.8,45,https://img30.360buyimg.com/n1//jfs/t1/58532/9/6574/116930/5d4b8665Ed76d2a08/d3a3fb18a7a169d0.jpg,米,粮油副食
金龙鱼 北国稻香米 10kg,89.8,22,https://img30.360buyimg.com/n1//jfs/t1/77472/18/6810/104542/5d4d43a8E228ad69b/82d9305fe2afdfcf.jpg,米,粮油副食
金龙鱼 金龙鱼稻香贡米 5kg,49.9,21,https://img30.360buyimg.com/n1//jfs/t1/72505/34/9083/121051/5d6dd697Ecb0443ce/d92fc3971b0c0e26.jpg,米,粮油副食
人民 嫩糯玉米糁 500g,13.9,11,https://img30.360buyimg.com/n1//jfs/t1/66839/24/8681/177291/5d68b9d5E1d7bd80f/ec52c9e63ec75ac5.jpg,米,粮油副食
越谷香 越南进口 精选香米 1.5KG,10,28,https://img30.360buyimg.com/n1//jfs/t1/52309/39/10342/117681/5d78a38aEdb820191/f99b5571e11ba0da.jpg,米,粮油副食
花中花 大米（彝家香米） 5kg,61.2,26,https://img30.360buyimg.com/n1//jfs/t1/3244/32/8618/109313/5baa4413Ea5233493/618111a9bba263cd.jpg,米,粮油副食
泰金香 上品茉莉香米 5kg,36.9,27,https://img30.360buyimg.com/n1//jfs/t25246/252/933627712/184444/86c25921/5b816eb3Nef40dd07.jpg,米,粮油副食
爱普莎 柬埔寨进口 香米 10kg,75.8,16,https://img30.360buyimg.com/n1//jfs/t1/72533/33/9468/124491/5d71077eEa1ec3bd5/8fc9281c71c06298.jpg,米,粮油副食
五丰 五常大米 600g,19.9,19,https://img30.360buyimg.com/n1//jfs/t1/56690/31/10433/84311/5d78a38eE0b03c844/e033d2e82d3320f3.jpg,米,粮油副食
惠宜 长粒香米 5kg,35.9,17,https://img30.360buyimg.com/n1//jfs/t24490/327/2113835608/115462/3ee9d198/5b7524eaN9ed4ddfe.jpg,米,粮油副食
惠宜 珍珠米 10kg(新旧包装随机发货）,55.8,12,https://img30.360buyimg.com/n1//jfs/t1/82244/35/8726/114797/5d67b870Ebd7e727d/40a30a6cffd8c47e.jpg,米,粮油副食
泰金香 甄泰香米 5kg,79.9,14,https://img30.360buyimg.com/n1//jfs/t1/74183/32/2341/189382/5d0b5810E03b27d1a/53caa33f82c28ff7.jpg,米,粮油副食
花中花 长粒香米 5kg,49.8,11,https://img30.360buyimg.com/n1//jfs/t1/1963/2/8758/128669/5baa4413E5e5bfedb/3e87a2231996ab60.jpg,米,粮油副食
花中花 长粒香米 粳米 10kg,84,13,https://img30.360buyimg.com/n1//jfs/t1/5199/13/6399/129415/5ba2fc44E8f730ea5/4bc4d04a772b746b.jpg,米,粮油副食
香满园 御品国珍 五常香米 5kg （新旧包装随机发货）,39.9,16,https://img30.360buyimg.com/n1//jfs/t1/77860/19/10018/116840/5d78bed1Eb3d4fafd/1a928de4f0df2c24.jpg,米,粮油副食
湄南河 泰国精选香米 10kg,89.9,4,https://img30.360buyimg.com/n1//jfs/t1/32502/2/5648/159075/5c877740E9e7d9335/8fe8301945fbd89e.jpg,米,粮油副食
爱普莎 柬埔寨进口 柬埔寨香米 5kg,42.8,7,https://img30.360buyimg.com/n1//jfs/t1/17405/33/2349/140166/5c1c90aaE7f0e618e/5d9501a3cef48524.jpg,米,粮油副食
menam rlver/湄南河 泰国进口 泰国经典茉莉香米 10kg,118,2,https://img30.360buyimg.com/n1//jfs/t25120/287/553833195/203411/43b981cd/5b73b75cN2bdcaa3d.jpg,米,粮油副食
孟乍隆 臻选泰国香米 5kg,59.9,1,https://img30.360buyimg.com/n1//jfs/t1/68764/4/5349/164208/5d37b386E63d908f2/d893387453035a28.jpg,米,粮油副食
惠宜 泰国进口 泰国茉莉香米 5kg,75.8,10,https://img30.360buyimg.com/n1//jfs/t1/57389/34/1262/132511/5cefa266Ee70c4ad8/efbd8a343b4fba1c.jpg,米,粮油副食
泰潘丹 莲花香米 5kg,59.8,2,https://img30.360buyimg.com/n1//jfs/t27010/59/2255568467/142350/dd988152/5bfcf9e4Nbc532a4e.jpg,米,粮油副食
泰潘丹 优选茉莉香米 5kg,49.9,1,https://img30.360buyimg.com/n1//jfs/t1/6916/6/668/877289/5bca0181E00080f61/147a781d14e7d775.jpg,米,粮油副食
湄南河 泰国乌汶茉莉香米 2.5kg,55.9,4,https://img30.360buyimg.com/n1//jfs/t1/43906/8/14742/169348/5d77560bE7df04b6c/8eaa5c44a90d3ae5.jpg,米,粮油副食
花中花 大米（珍珠香米） 10kg,84,10,https://img30.360buyimg.com/n1//jfs/t1/990/36/8992/120893/5baa4411E0046258c/8eeae6e950ddccfd.jpg,米,粮油副食
五丰 寒地长粒香米 10kg,76.5,2,https://img30.360buyimg.com/n1//jfs/t1/70923/3/10008/159941/5d78a36fE6e67bc40/a60e9cad174710e1.jpg,米,粮油副食
五丰 稻花香米 10kg 每人每天每单限购10袋,169.8,4,https://img30.360buyimg.com/n1//jfs/t1/43856/15/14475/178809/5d77719fE0727ae71/befbbddf2f14288f.jpg,米,粮油副食
五丰 稻花香米 5kg,87.9,4,https://img30.360buyimg.com/n1//jfs/t1/69126/19/6778/209715/5d4b863eE2fa7206a/9a61f416ef15b027.jpg,米,粮油副食
曼泰吉 泰国进口 纯正泰国香米 5kg,59.9,5,https://img30.360buyimg.com/n1//jfs/t1/24700/10/2427/207262/5c1c9103Ef88fb545/6884141e90882fcb.jpg,米,粮油副食
金龙鱼 小鲜米 300g,9.9,3,https://img30.360buyimg.com/n1//jfs/t1/47004/1/8742/146664/5d63788bE446d91e3/b1c0e5947c903f9f.jpg,米,粮油副食
香满园 特选长粒香米 5kg,59.8,54,https://img30.360buyimg.com/n1//jfs/t1/61333/18/12546/148602/5da04c8fE5a64536e/7f5ea7562d993fa4.jpg,米,粮油副食
福临门 延边禾心匠作吉林大米 10kg,149,0,https://img30.360buyimg.com/n1//jfs/t25477/7/533933033/122386/5f73353c/5b73963dN267d7212.jpg,米,粮油副食
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
金龙鱼 阳光欧洲原料葵花籽油 900ml （新旧包装随机发货）,10,181,https://img30.360buyimg.com/n1//jfs/t1/51570/30/7307/103007/5d4d43bcEbb38f214/f82024beb92da3dc.jpg,食用油,粮油副食
道道全 清香菜籽油 5L,39.8,178,https://img30.360buyimg.com/n1//jfs/t1/1350/9/8713/83923/5baa43f3Ef6a4d044/93caecb26366b237.jpg,食用油,粮油副食
金龙鱼 优选玉米油 5L（ 赠品以实际收货为准）,59.9,119,https://img30.360buyimg.com/n1//jfs/t1/76005/6/12755/118032/5da06c3eEf769d236/99b70b395678e1b2.jpg,食用油,粮油副食
鲤鱼 浓香风味菜籽油 5L,49.8,135,https://img30.360buyimg.com/n1//jfs/t1/79524/8/6651/100627/5d4d479dE09539209/0e1f9e8ceab8394a.jpg,食用油,粮油副食
金龙鱼 食用植物调和油（清香） 5L,37.8,53,https://img30.360buyimg.com/n1//jfs/t1/71987/26/10179/94985/5d786788E88478fec/7ca1265f37f2bdd1.jpg,食用油,粮油副食
多力 葵花籽油 4L,49.5,50,https://img30.360buyimg.com/n1//jfs/t26125/202/1513217313/127496/23e97aa3/5be4faebNa381b81d.jpg,食用油,粮油副食
金龙鱼 菜籽油 1.8L,29.8,37,https://img30.360buyimg.com/n1//jfs/t1/77216/28/6780/122172/5d4d43ceEedeffc6e/871e87708588e0d0.jpg,食用油,粮油副食
惠宜 大豆油 5L,32.5,359,https://img30.360buyimg.com/n1//jfs/t1/43917/9/8749/96696/5d24134aE1eca4360/7af7575ef1185431.jpg,食用油,粮油副食
福临门 纯正菜籽油 5L,49.8,94,https://img30.360buyimg.com/n1//jfs/t1/74006/40/9981/92633/5d788ecaEcc861269/fc01d6f528d5e9d2.jpg,食用油,粮油副食
金龙鱼 外婆乡小榨 压榨菜籽油三级 4L,59.9,82,https://img30.360buyimg.com/n1//jfs/t1/78332/24/6818/118062/5d4d435fE1c7e566f/192aabdf0de05fd7.jpg,食用油,粮油副食
太太乐 芝麻香油 405ml,26.5,51,https://img30.360buyimg.com/n1//jfs/t1/57989/27/10428/48739/5d788bc2E3113ff1a/95587986d6719a9a.jpg,食用油,粮油副食
福临门 家香味AE浓香营养菜籽油 5L,59.9,53,https://img30.360buyimg.com/n1//jfs/t1/64933/27/9958/108706/5d788eb7E41322427/ef5c0597538886a9.jpg,食用油,粮油副食
鲁花 压榨特香菜籽油 4L,73.6,82,https://img30.360buyimg.com/n1//jfs/t1/76838/3/6581/108125/5d4b8482E69dd12f3/9c28e44936f71d16.jpg,食用油,粮油副食
西王 玉米胚芽油 900ml,23,60,https://img30.360buyimg.com/n1//jfs/t29821/234/246473786/57892/6166cb68/5beccf4cN7c5e948d.jpg,食用油,粮油副食
手標 纯正菜籽油 5L,36.5,147,https://img30.360buyimg.com/n1//jfs/t1/61236/18/1291/86540/5cf8c7e4Edc8c0d55/eee826d990dc3376.jpg,食用油,粮油副食
金龙鱼 外婆乡小榨菜籽油 5L,88.8,46,https://img30.360buyimg.com/n1//jfs/t1/58622/36/7195/130825/5d4d43d2Ebeb7fd6b/d2bd57f36122dda9.jpg,食用油,粮油副食
鲁花 5S压榨一级花生油 4L,124.8,34,https://img30.360buyimg.com/n1//jfs/t1/62241/38/6579/119523/5d4b847cE966c2584/c594d6c382fbfd89.jpg,食用油,粮油副食
金龙鱼 稻米油 700ml,10,27,https://img30.360buyimg.com/n1//jfs/t1/79231/20/9969/56358/5d78a38bE02e4502c/a7eed16830a4cecd.jpg,食用油,粮油副食
鲤鱼 四川小榨风味菜籽油+正宗原香菜籽油 5L+400ml,79.8,23,https://img30.360buyimg.com/n1//jfs/t1/60705/2/6706/127941/5d4d47a5E06436226/28ac3219bd1374bd.jpg,食用油,粮油副食
金龙鱼 黄金比例食用调和油 5L,69.9,23,https://img30.360buyimg.com/n1//jfs/t1/67084/2/9157/133920/5d6f7a15E12ab35e7/c9b41ee63677b36b.jpg,食用油,粮油副食
福临门 纯香菜籽油 5L,55.8,26,https://img30.360buyimg.com/n1//jfs/t29941/223/1379809849/78849/71c10d05/5cdd3da2N510b6168.jpg,食用油,粮油副食
金龙鱼 纯香菜籽油 5L,68.8,15,https://img30.360buyimg.com/n1//jfs/t1/52377/19/7201/114846/5d4d4356E097f4c2d/eaf22592bb939f14.jpg,食用油,粮油副食
