商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
维达 卫生纸 4层 138*100mm/节 12卷,19.8,108,https://img30.360buyimg.com/n1//jfs/t1/59483/33/2493/57527/5d0b5b70E64bf4e49/8daee331d0ad6f66.jpg,纸品,纸品家清
洁柔 自然无香可湿水面纸 6片4层/包 24包+6包,10.8,77,https://img30.360buyimg.com/n1//jfs/t1/76089/21/9943/78601/5d771552Ecad33a6a/e3f6bd4a3373cb9a.jpg,纸品,纸品家清
洁柔（C&S） 加厚型天然无香可湿水面纸6包装 780抽*3层 2340张,21.8,64,https://img30.360buyimg.com/n1//jfs/t1/71882/25/11870/148993/5d9175d6Ec9583a37/5db7796a7907a78f.jpg,纸品,纸品家清
惠宜 抽取式纸面巾 130抽*8包 130mm*180mm*3层,14.8,59,https://img30.360buyimg.com/n1//jfs/t1/52675/2/12449/144050/5d9175cdE16dfc1c3/119ace8712d9d5d5.jpg,纸品,纸品家清
维达（Vinda） 至有份量系列卫生纸 180克/卷*10卷 3层 包装更新 以实物为准,25.8,67,https://img30.360buyimg.com/n1//jfs/t1/64645/18/11702/96955/5d9175cbE21b97ddf/f5794f2d4166e57b.jpg,纸品,纸品家清
维达（Vinda） 超韧系列抽取式纸面巾 130抽(三层)/包*6包,15.8,94,https://img30.360buyimg.com/n1//jfs/t1/41081/25/10753/110250/5d428630E3701419c/23c3e1a621bcf1b2.jpg,纸品,纸品家清
心相印 厨房纸巾 225*225mm/节 二层 75节/卷*2卷,7.8,122,https://img30.360buyimg.com/n1//jfs/t1/78364/25/11266/162694/5d8b1437Ef615af28/41dc40883fd83a7b.jpg,纸品,纸品家清
清风 卫生纸 110mm*93mm（3层）240段/卷 20卷/提,29.8,33,https://img30.360buyimg.com/n1//jfs/t1/54717/21/9290/86176/5d68d6f7E27602d2b/143050368b75ecd5.jpg,纸品,纸品家清
洁柔（C&S） 厨房用纸(料理用纸) 221*225mm*75节(二层)/卷,7.9,32,https://img30.360buyimg.com/n1//jfs/t1/70229/31/7919/140543/5d5dfc66Ecb05fcd5/b99b9abeaf69df96.jpg,纸品,纸品家清
洁柔（C&S） 低白度纸面巾10包装 M中号 3层 3600张,29.8,33,https://img30.360buyimg.com/n1//jfs/t1/70761/37/7870/120903/5d5dfc54Eae130bcb/c791e45d4274b467.jpg,纸品,纸品家清
洁柔 Face 便携式纸面巾（可湿水面纸） 自然无香 40抽*3层,1,726,https://img30.360buyimg.com/n1//jfs/t1/84479/3/6413/43239/5d41657cE8d5706a5/1f75ef279abce980.jpg,纸品,纸品家清
娇点 口手卫生湿巾 80片(新旧包装随机发货),5.8,66,https://img30.360buyimg.com/n1//jfs/t1/67337/35/9336/81874/5d721378Ed8c3e980/56b8ea601436b59b.jpg,纸品,纸品家清
洁柔 Face系列抽取式纸面巾  8包/(3层)（旅行便携式）（新旧规格随机发货）,18.8,90,https://img30.360buyimg.com/n1//jfs/t1/79595/5/11717/117743/5d9175ddE6a7c9e48/a1c06986733638d5.jpg,纸品,纸品家清
竹元素 本色抽纸 120*180mm 330张/包*6包,18.8,175,https://img30.360buyimg.com/n1//jfs/t1/47277/10/1722/97087/5cf76509E3e5f21fd/3cf3373caa11fb42.jpg,纸品,纸品家清
洁柔 卫生纸(Face有芯)无香 12卷/提 101*138mm/节 4层,32.8,303,https://img30.360buyimg.com/n1//jfs/t1/58847/7/1634/67367/5cf764bdE0a96e189/cd14c8d672a53dbd.jpg,纸品,纸品家清
洁柔 Face系列抽取式纸面巾 8包/提 120抽/包 195*133mm*3层,24.3,129,https://img30.360buyimg.com/n1//jfs/t1/44893/36/1699/134273/5cf764bbEf29fd165/7d693975f499c418.jpg,纸品,纸品家清
