商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
黄瓜山 松花皮蛋 6枚 300g,14.9,47,https://img30.360buyimg.com/n1//jfs/t1/51594/32/13086/103950/5d9ff969E8df97b4a/da107e789ea32273.jpg,精选蛋类,肉蛋家禽
正大 DHA鸡蛋 600g+150g（ 12+3枚）,21.8,145,https://img30.360buyimg.com/n1//jfs/t1/66065/29/8971/121291/5d6cf1edEde6b87ab/0b4c6c7864a5caa4.jpg,精选蛋类,肉蛋家禽
吉沃乐 粗粮蛋 20枚 1kg,22.9,52,https://img30.360buyimg.com/n1//jfs/t1/68307/30/3536/192224/5d1b2959Eaa7335ee/9ac3113aac8fdfaf.jpg,精选蛋类,肉蛋家禽
吉沃乐 五谷蛋 12枚 600g,14.9,76,https://img30.360buyimg.com/n1//jfs/t1/55963/27/3995/186948/5d1b295bE88546019/fe928577d9a5631d.jpg,精选蛋类,肉蛋家禽
吉沃乐 桑叶蛋 9枚 450g,10.9,53,https://img30.360buyimg.com/n1//jfs/t1/74103/6/3553/200658/5d1b295aE55cdda82/a580a222151e399d.jpg,精选蛋类,肉蛋家禽
石灵 农养鸡蛋 20枚 1kg,24.9,114,https://img30.360buyimg.com/n1//jfs/t1/43434/31/13422/98890/5d68ba02Ea30cae0a/d6d05937e998665c.jpg,精选蛋类,肉蛋家禽
正大 盒装富硒鸡蛋 20枚 1kg,21.8,546,https://img30.360buyimg.com/n1//jfs/t1/49544/8/12842/113731/5d9d7450E7d269993/c9be141f02462043.jpg,精选蛋类,肉蛋家禽
黄瓜山 翻沙咸蛋 6枚 300g      ,14.9,22,https://img30.360buyimg.com/n1//jfs/t1/73128/14/12739/139912/5d9ff965Ef9b2f91f/c43a138c7643de0c.jpg,精选蛋类,肉蛋家禽
黄瓜山 盒装鲜鸡蛋 10枚 400g,10.9,649,https://img30.360buyimg.com/n1//jfs/t1/60529/9/9730/86197/5d76f8a2E694b72b3/31a7ea36449d7481.jpg,精选蛋类,肉蛋家禽
黄瓜山 翻沙咸蛋 50g,2.5,42,https://img30.360buyimg.com/n1//jfs/t28546/268/1539273367/268683/984b6e3a/5ce4f726N42067912.jpg,精选蛋类,肉蛋家禽
石灵 绿色鸡蛋 10枚 510g,14.9,45,https://img30.360buyimg.com/n1//jfs/t1/60334/18/8623/98270/5d68ba00E7a923f85/9a60deaa1d07baec.jpg,精选蛋类,肉蛋家禽
圣迪乐村 高品质鸡蛋 15枚 675g,29.8,41,https://img30.360buyimg.com/n1//jfs/t1/79208/23/12676/169000/5d9ff95aE3d4904af/fc51e5be7a909a46.jpg,精选蛋类,肉蛋家禽
黄瓜山 精选鲜鸡蛋 20枚 900g,21.9,25,https://img30.360buyimg.com/n1//jfs/t1/82818/38/3518/88286/5d1b2908Ee752a1b8/8d831a4e5caa8ee0.jpg,精选蛋类,肉蛋家禽
神丹 鲜鹌鹑蛋 24枚 210g,14.9,24,https://img30.360buyimg.com/n1//jfs/t1/74373/8/1736/132692/5d00acbbE8cc69af6/4ba6586a324dec96.jpg,精选蛋类,肉蛋家禽
石灵 农养鸡蛋 15枚 750g,20.8,17,https://img30.360buyimg.com/n1//jfs/t1/36256/9/13750/95273/5d1b2917E8f369a50/f25f2860ea362193.jpg,精选蛋类,肉蛋家禽
黄瓜山 琪林鸡蛋 15枚 750g,15.9,14,https://img30.360buyimg.com/n1//jfs/t1/66967/21/3496/87083/5d1b28cbE671b2480/76ae89ec89f389fc.jpg,精选蛋类,肉蛋家禽
鸟王茶香鸡蛋 1枚 23g,1.5,18,https://img30.360buyimg.com/n1//jfs/t1/55244/12/3938/148144/5d1b28b5Ed7f4ae3c/5ac558b704472b6f.jpg,精选蛋类,肉蛋家禽
神丹 松花皮蛋 12枚 636g,32.8,1,https://img30.360buyimg.com/n1//jfs/t1/37013/31/12930/152737/5d0b536dEbdd6e747/f6e87ef8ee37df0a.jpg,精选蛋类,肉蛋家禽
吉沃乐 桑叶蛋 20枚 1kg,29.8,6,https://img30.360buyimg.com/n1//jfs/t1/69231/28/12526/129623/5d9ff983E15134ce4/82a7cbd4efc51556.jpg,精选蛋类,肉蛋家禽
川龙涎 客家鸡蛋 20枚 1kg,28.8,4,https://img30.360buyimg.com/n1//jfs/t1/34128/37/13200/125942/5d1b2964E0d3ddf92/bd84e1d865904012.jpg,精选蛋类,肉蛋家禽
神丹 油黄咸鸭蛋 1P,3.9,10,https://img30.360buyimg.com/n1//jfs/t1/66311/36/3442/104092/5d1b28b0E45f8c205/e1f333721fb5fcf9.jpg,精选蛋类,肉蛋家禽
黄瓜山 翻沙咸蛋 9枚 450g,24.9,0,https://img30.360buyimg.com/n1//jfs/t27031/136/394223682/229986/51aaf8aa/5b90f84cNe730c06b.jpg,精选蛋类,肉蛋家禽
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
八鲜桥 牛蛙切块 300g,25.8,2,https://img30.360buyimg.com/n1//jfs/t1/50288/36/10972/123954/5d8036faE46734db4/addb2f1307bb0ceb.jpg,自有品牌肉类,肉蛋家禽
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
【秒杀】带皮前腿肉 约500g,24.05,134,https://img30.360buyimg.com/n1//jfs/t1/82233/6/9145/320427/5d6f2907Ee1618a4a/1300c9744ccfd31b.jpg,猪肉,肉蛋家禽
【秒杀】五花肉 约500g 请以收到的实物为准,29.3,89,https://img30.360buyimg.com/n1//jfs/t1/44686/32/9667/113916/5d6f2906E3599e109/66e063ee0c2ccae3.jpg,猪肉,肉蛋家禽
筒骨 约500g,20.79,87,https://img30.360buyimg.com/n1//jfs/t1/65136/38/9817/121774/5d76f8a2E307b778d/2a0493bd94cf4d0b.jpg,猪肉,肉蛋家禽
【秒杀】瘦肉 约300g,21.36,124,https://img30.360buyimg.com/n1//jfs/t1/43373/25/14493/104310/5d79b03aE8a20ffa6/e02626d1e3937e59.jpg,猪肉,肉蛋家禽
【秒杀】带皮后腿肉 约500g,30.35,77,https://img30.360buyimg.com/n1//jfs/t1/46542/21/10545/169084/5d79b036E14fce48a/c9ebb93140c32624.jpg,猪肉,肉蛋家禽
瘦肥肉馅 约300g,15.06,114,https://img30.360buyimg.com/n1//jfs/t1/81877/12/10193/101278/5d79f406Efe898ec9/05677d68aae85e7c.jpg,猪肉,肉蛋家禽
尾骨 约500g,24.05,62,https://img30.360buyimg.com/n1//jfs/t1/53077/17/8732/200249/5d63ae9eE45c0cd56/d3c2cdf5f0e2d39b.jpg,猪肉,肉蛋家禽
精瘦肉馅 约300g,18.84,66,https://img30.360buyimg.com/n1//jfs/t1/54661/27/9593/111381/5d6f5e76E7f41503e/78ffc0ec6ca96cfd.jpg,猪肉,肉蛋家禽
带肉扇骨 约500g,29.3,12,https://img30.360buyimg.com/n1//jfs/t1/39964/40/14920/148734/5d5e88fdE59a50098/ec43ad9232cbf81c.jpg,猪肉,肉蛋家禽
瘦猪肉 约500g,48,10,https://img30.360buyimg.com/n1//jfs/t1/70881/40/7989/114779/5d5e8907E93a95db3/847904cb7b9e6ad2.jpg,猪肉,肉蛋家禽
腱子肉  约500g,42.95,8,https://img30.360buyimg.com/n1//jfs/t1/77807/31/8013/113216/5d5e7c7fE7fcdaf2e/bae0507ed94ea93d.jpg,猪肉,肉蛋家禽
沃尔玛 猪蹄 约500g,33.5,0,https://img30.360buyimg.com/n1//jfs/t1/61437/37/8164/157365/5d5f7d31Ee8579793/7b18228fc203b341.jpg,猪肉,肉蛋家禽
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
福润生 羊肉片 125g,9.9,60,https://img30.360buyimg.com/n1//jfs/t1/43733/6/14824/68187/5d7a1fdeE28d73242/2844653a55848703.jpg,牛羊肉,肉蛋家禽
