商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
安佳（Anchor） 新西兰进口 原味黄油 227g,29.8,42,https://img30.360buyimg.com/n1//jfs/t1/81610/2/10947/116427/5d89af02E13362f63/39da72a273b0df32.jpg,进口食品,进口商品
佳沛 绿果10粒装 约500g,19.9,58,https://img30.360buyimg.com/n1//jfs/t1/66064/14/7865/223279/5d5bb32dEc5f6d09f/6d6a70f45e09462b.jpg,进口食品,进口商品
乒乓 马来西亚进口 芝士甜夹心饼干 208g（26g*8小包）,9.9,63,https://img30.360buyimg.com/n1//jfs/t1/84383/5/8232/241972/5d5b9ab1E0560c26c/9e1a8bec54c6f413.jpg,进口食品,进口商品
茱蒂丝 马来西亚进口 花生酱夹心饼干 360g(12件),18.8,25,https://img30.360buyimg.com/n1//jfs/t1/52472/26/8244/184961/5d5b9ab4Eac49b077/dcdbd52b7b99c61a.jpg,进口食品,进口商品
进口 蓝莓(盒) 125g,9.9,56,https://img30.360buyimg.com/n1//jfs/t1/38630/26/4209/160161/5cc813c3Eef3b3b1e/086a4312f165ddb7.jpg,进口食品,进口商品
DAN.D.PAK 越南进口 原味腰果 560g,69.8,21,https://img30.360buyimg.com/n1//jfs/t1/65964/30/7114/128015/5d54ba3fEb2ac1f01/20709397ec2849aa.jpg,进口食品,进口商品
进口  龙眼 约500g,7.5,123,https://img30.360buyimg.com/n1//jfs/t1/37267/15/7040/190608/5cc81357Ee75baf4b/755fab89140f962d.jpg,进口食品,进口商品
Tipo 越南进口 牛奶味奶蛋酥脆面包干（冷加工糕点） 135g（14包）,9.9,60,https://img30.360buyimg.com/n1//jfs/t1/58010/37/2909/76019/5d0b5aeeEdbe5b28c/b69560843c056abf.jpg,进口食品,进口商品
Richeese/丽芝士 印度尼西亚进口 奶酪威化饼干 200g,9.9,116,https://img30.360buyimg.com/n1//jfs/t1/59383/25/7617/151758/5d5b9a9dE579ed36f/7528387a29816116.jpg,进口食品,进口商品
进口 超甜蕉 约700g,11.9,36,https://img30.360buyimg.com/n1//jfs/t1/78037/28/3069/113914/5d146c97E8f63e310/f8f68aa860d5b0f0.jpg,进口食品,进口商品
牛油果 1个 约160g,6.98,48,https://img30.360buyimg.com/n1//jfs/t1/75860/35/8959/147557/5d6dfbc8E6d3f1137/a26ddf119336820f.jpg,进口食品,进口商品
艾思达（ASDA） 意大利进口 意大利面 500g,9.8,31,https://img30.360buyimg.com/n1//jfs/t30676/43/1607295121/58857/eb18ac4e/5ce667f5N56a97af6.jpg,进口食品,进口商品
都乐（Dole） 金菠萝 1个 约1kg （不提供切片服务）,13.9,44,https://img30.360buyimg.com/n1//jfs/t1/71693/38/11388/251602/5d8d7470E07387ed5/1a24b2c8c36b87c9.jpg,进口食品,进口商品
茱蒂丝 马来西亚进口 雷蒙德柠檬味夹心饼干 272g（17g*16）,18.8,18,https://img30.360buyimg.com/n1//jfs/t1/55195/7/8273/100167/5d5b9aadE1eb6ac7c/6fe6b4370bd282e5.jpg,进口食品,进口商品
茱蒂丝 马来西亚进口 雷蒙德干酪味夹心饼干 288g(18g*16),18.8,12,https://img30.360buyimg.com/n1//jfs/t1/79735/24/7792/124967/5d5b9aaeE613fbb0f/370890a8813c3c7d.jpg,进口食品,进口商品
袋装澳洲橙 约950g,16.9,21,https://img30.360buyimg.com/n1//jfs/t1/52826/20/11089/144074/5d81f0a4E8575b8bc/1702dd17d7745567.jpg,进口食品,进口商品
乒乓 马来西亚进口 芝士夹心饼干 184g（23g*8小包）,9.9,25,https://img30.360buyimg.com/n1//jfs/t1/64895/31/7702/262523/5d5b9ab1E1b129f40/03fac47375fc891d.jpg,进口食品,进口商品
卡乐比 日本进口 混合麦片 500g,29.8,30,https://img30.360buyimg.com/n1//jfs/t1/41844/35/6334/169528/5cffab58E9ab08162/ef13cd8d39f92bc3.jpg,进口食品,进口商品
惠宜 越南进口  冻巴沙鱼柳 400g,23.8,22,https://img30.360buyimg.com/n1//jfs/t1/59394/10/11342/122736/5d8c8873E5cb088e7/576183382514fcea.jpg,进口食品,进口商品
