商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 方形提拉米苏,13.8,45,https://img30.360buyimg.com/n1//jfs/t9931/229/2860961156/188083/7d621cf7/5cdbe39dN130e2528.jpg,人气推荐,面包蛋糕
沃集鲜/Marketside 咸奶油红丝绒慕斯蛋糕 9cm*9cm,15.8,12,https://img30.360buyimg.com/n1//jfs/t1/75780/36/12545/195976/5d9dc2a3Ec7dca0a5/3b6d3a5e7d94263e.jpg,人气推荐,面包蛋糕
沃集鲜/Marketside 方形牛奶慕斯,13.8,15,https://img30.360buyimg.com/n1//jfs/t1/73911/25/12462/126533/5d9dc2a3E99c2b75e/8b1c2e0a7cad69d2.jpg,人气推荐,面包蛋糕
沃集鲜/Marketside 玫瑰荔枝慕斯蛋糕 9cm*9cm,15.8,9,https://img30.360buyimg.com/n1//jfs/t1/38687/30/9839/111181/5d10ab78E435e63f4/4dd47e424105b65f.jpg,人气推荐,面包蛋糕
"沃集鲜/Marketside 牛油果巧克力裸蛋糕 4""",20.8,4,https://img30.360buyimg.com/n1//jfs/t1/73060/15/2753/193081/5d10ab77Efac9648c/696b86dc474d16f2.jpg,人气推荐,面包蛋糕
"沃集鲜/Marketside 咸奶油红丝绒裸蛋糕 4""",20.8,6,https://img30.360buyimg.com/n1//jfs/t1/56933/7/3283/130471/5d10ab75E6972b6ab/0905425ea7c40a68.jpg,人气推荐,面包蛋糕
沃集鲜/Marketside 麦香牛油果慕斯蛋糕 9cm*9cm,15.8,7,https://img30.360buyimg.com/n1//jfs/t1/44552/33/3156/110260/5d10ab78E602db227/c1c7a62a9cd1dcea.jpg,人气推荐,面包蛋糕
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 咸奶油泡芙,9.8,56,https://img30.360buyimg.com/n1//jfs/t1/56500/8/9870/203309/5d70d4f0Ed69e77b0/031e0d75fb1c3142.jpg,自制蛋糕,面包蛋糕
沃集鲜/Marketside 虎皮瑞士卷蛋糕 (盒),10.8,74,https://img30.360buyimg.com/n1//jfs/t1/74192/14/3488/166605/5d19d232Ef88ecfa5/701b6f644826f68d.jpg,自制蛋糕,面包蛋糕
